,time,PM2.5,humidity,temperature
0,2021-09-11 10:00:00,38.96,74.6,30.9
1,2021-09-11 11:00:00,34.75,70.7,32.0
2,2021-09-11 12:00:00,27.85,64.8,33.7
3,2021-09-11 13:00:00,26.52,61.1,35.3
4,2021-09-11 14:00:00,18.7,60.2,35.8
5,2021-09-11 15:00:00,17.4,59.0,36.1
6,2021-09-11 16:00:00,17.4,58.1,36.2
7,2021-09-11 17:00:00,17.6,57.9,35.9
8,2021-09-11 18:00:00,26.58,59.7,34.8
9,2021-09-11 19:00:00,40.21,61.2,33.9
10,2021-09-11 20:00:00,57.78,62.6,33.7
11,2021-09-11 21:00:00,83.23,72.3,32.6
12,2021-09-11 22:00:00,107.16,81.4,31.2
13,2021-09-11 23:00:00,84.93,79.8,30.6
14,2021-09-12 00:00:00,76.74,82.1,30.4
15,2021-09-12 01:00:00,78.43,83.4,30.3
16,2021-09-12 02:00:00,84.97,87.6,29.8
17,2021-09-12 03:00:00,86.63,88.5,29.7
18,2021-09-12 04:00:00,102.03,87.7,29.8
19,2021-09-12 05:00:00,105.78,87.3,29.5
20,2021-09-12 06:00:00,106.77,89.5,29.2
21,2021-09-12 07:00:00,93.19,92.2,28.8
22,2021-09-12 08:00:00,79.07,86.7,29.9
23,2021-09-12 09:00:00,138.25,80.3,32.0
24,2021-09-12 10:00:00,147.26,74.7,33.4
25,2021-09-12 11:00:00,99.12,71.4,33.8
26,2021-09-12 12:00:00,80.19,65.8,35.4
27,2021-09-12 13:00:00,73.8,64.5,35.7
28,2021-09-12 14:00:00,57.6,60.3,37.0
29,2021-09-12 15:00:00,40.21,55.1,37.6
30,2021-09-12 16:00:00,37.1,55.7,37.4
31,2021-09-12 17:00:00,39.35,58.4,36.3
32,2021-09-12 18:00:00,43.82,58.9,36.1
33,2021-09-12 19:00:00,72.45,65.1,34.8
34,2021-09-12 20:00:00,99.27,69.0,34.2
35,2021-09-12 21:00:00,167.41,72.4,33.8
36,2021-09-12 22:00:00,167.68,79.1,32.6
37,2021-09-12 23:00:00,142.71,85.4,31.8
38,2021-09-13 00:00:00,129.91,88.1,31.4
39,2021-09-13 01:00:00,136.25,91.1,31.0
40,2021-09-13 02:00:00,130.63,91.5,30.9
41,2021-09-13 03:00:00,129.58,91.6,30.7
42,2021-09-13 04:00:00,133.74,91.0,30.7
43,2021-09-13 05:00:00,139.98,92.6,30.5
44,2021-09-13 06:00:00,214.51,95.0,29.8
45,2021-09-13 07:00:00,232.85,93.4,29.7
46,2021-09-13 08:00:00,124.96,87.4,30.1
47,2021-09-13 09:00:00,133.9,83.6,31.3
48,2021-09-13 10:00:00,134.62,77.0,33.5
49,2021-09-13 11:00:00,144.31,76.6,33.7
50,2021-09-13 12:00:00,127.98,72.2,34.8
51,2021-09-13 13:00:00,81.34,68.3,35.4
52,2021-09-13 14:00:00,77.61,67.4,34.7
53,2021-09-13 15:00:00,76.9,77.3,31.6
54,2021-09-13 16:00:00,60.03,84.1,29.3
55,2021-09-13 17:00:00,70.43,90.1,27.9
56,2021-09-13 18:00:00,97.23,95.1,27.8
57,2021-09-13 19:00:00,70.41,92.8,28.1
58,2021-09-13 20:00:00,14.8,93.8,27.6
59,2021-09-13 21:00:00,17.0,93.6,27.7
60,2021-09-13 22:00:00,14.9,91.1,27.7
61,2021-09-13 23:00:00,16.1,94.6,27.1
62,2021-09-14 00:00:00,17.5,93.1,27.3
63,2021-09-14 01:00:00,18.1,91.4,27.3
64,2021-09-14 02:00:00,56.21,92.7,27.3
65,2021-09-14 03:00:00,70.07,95.5,27.2
66,2021-09-14 04:00:00,84.49,98.4,27.0
67,2021-09-14 05:00:00,85.98,98.9,27.1
68,2021-09-14 06:00:00,85.36,99.4,27.0
69,2021-09-14 07:00:00,81.43,96.4,27.5
70,2021-09-14 08:00:00,81.21,95.0,28.0
