,time,PM2.5,humidity,temperature
0,2021-08-02 10:00:00,9.2,90.4,31.9
1,2021-08-02 11:00:00,11.8,84.6,33.0
2,2021-08-02 12:00:00,10.8,78.6,34.4
3,2021-08-02 13:00:00,8.5,71.6,35.6
4,2021-08-02 14:00:00,10.8,70.2,36.4
5,2021-08-02 15:00:00,12.6,69.7,36.9
6,2021-08-02 16:00:00,12.8,67.4,36.8
7,2021-08-02 17:00:00,12.7,66.9,36.2
8,2021-08-02 18:00:00,12.3,70.6,35.6
9,2021-08-02 19:00:00,12.6,76.1,34.5
10,2021-08-02 20:00:00,12.6,81.3,33.7
11,2021-08-02 21:00:00,9.5,88.6,32.8
12,2021-08-02 22:00:00,10.1,93.8,31.8
13,2021-08-02 23:00:00,9.5,97.0,30.8
14,2021-08-03 00:00:00,9.4,98.0,30.4
15,2021-08-03 01:00:00,9.7,95.8,30.2
16,2021-08-03 02:00:00,17.4,94.5,30.0
17,2021-08-03 03:00:00,17.0,95.4,29.8
18,2021-08-03 04:00:00,16.6,93.6,29.1
19,2021-08-03 05:00:00,11.6,93.9,28.8
20,2021-08-03 06:00:00,10.5,93.8,28.9
21,2021-08-03 07:00:00,14.5,92.3,29.8
22,2021-08-03 08:00:00,14.3,89.8,30.3
23,2021-08-03 09:00:00,12.3,82.9,31.4
24,2021-08-03 10:00:00,13.2,76.7,33.0
25,2021-08-03 11:00:00,14.0,73.4,34.6
26,2021-08-03 12:00:00,14.8,70.0,35.6
27,2021-08-03 13:00:00,15.6,69.6,36.4
28,2021-08-03 14:00:00,14.4,63.8,37.5
29,2021-08-03 15:00:00,14.3,61.4,38.0
30,2021-08-03 16:00:00,13.9,60.5,38.2
31,2021-08-03 17:00:00,14.8,62.5,37.7
32,2021-08-03 18:00:00,19.2,68.5,36.4
33,2021-08-03 19:00:00,16.1,70.5,35.3
34,2021-08-03 20:00:00,13.2,71.5,34.4
35,2021-08-03 21:00:00,17.9,75.0,34.3
36,2021-08-03 22:00:00,42.31,82.4,33.8
37,2021-08-03 23:00:00,18.1,82.9,33.4
38,2021-08-04 00:00:00,14.3,82.5,33.1
39,2021-08-04 01:00:00,14.3,85.0,32.7
40,2021-08-04 02:00:00,54.39,92.1,32.1
41,2021-08-04 03:00:00,102.8,99.4,30.8
42,2021-08-04 04:00:00,93.09,99.2,30.3
43,2021-08-04 05:00:00,82.86,96.2,30.2
44,2021-08-04 06:00:00,80.97,95.1,30.5
45,2021-08-04 07:00:00,66.02,97.0,30.6
46,2021-08-04 08:00:00,17.5,94.4,31.1
47,2021-08-04 09:00:00,53.49,88.6,32.5
48,2021-08-04 10:00:00,47.18,83.2,33.8
49,2021-08-04 11:00:00,46.0,78.6,35.1
50,2021-08-04 12:00:00,41.93,74.6,36.2
51,2021-08-04 13:00:00,32.97,70.2,37.1
52,2021-08-04 14:00:00,26.62,66.7,37.9
53,2021-08-04 15:00:00,25.53,63.7,38.6
54,2021-08-04 16:00:00,19.9,59.7,38.8
55,2021-08-04 17:00:00,26.13,63.9,37.6
56,2021-08-04 18:00:00,35.29,69.1,36.8
57,2021-08-04 19:00:00,29.51,68.5,36.1
58,2021-08-04 20:00:00,36.04,72.2,35.5
59,2021-08-04 21:00:00,37.32,77.8,34.8
60,2021-08-04 22:00:00,17.8,80.1,34.3
61,2021-08-04 23:00:00,14.7,82.4,33.9
62,2021-08-05 00:00:00,12.5,83.7,33.5
63,2021-08-05 01:00:00,11.8,84.7,33.3
64,2021-08-05 02:00:00,11.7,89.0,32.8
65,2021-08-05 03:00:00,11.9,98.1,31.8
66,2021-08-05 04:00:00,11.0,95.2,32.0
67,2021-08-05 05:00:00,15.1,98.2,31.7
68,2021-08-05 06:00:00,117.45,100.0,30.8
69,2021-08-05 07:00:00,114.8,99.7,31.1
70,2021-08-05 08:00:00,87.94,95.3,32.0
71,2021-08-05 09:00:00,77.04,86.4,33.5
72,2021-08-05 10:00:00,39.82,75.2,35.0
73,2021-08-05 11:00:00,33.07,72.2,36.0
74,2021-08-05 12:00:00,27.87,69.0,37.1
75,2021-08-05 13:00:00,17.9,65.0,38.2
76,2021-08-05 14:00:00,14.7,62.1,38.4
77,2021-08-05 15:00:00,13.5,61.9,38.2
78,2021-08-05 16:00:00,11.2,61.2,38.2
79,2021-08-05 17:00:00,12.2,66.5,37.3
80,2021-08-05 18:00:00,33.12,69.8,36.4
81,2021-08-05 19:00:00,56.77,72.9,35.6
82,2021-08-05 20:00:00,45.8,75.9,35.1
83,2021-08-05 21:00:00,50.45,77.9,34.9
84,2021-08-05 22:00:00,60.5,82.9,34.2
85,2021-08-05 23:00:00,57.4,86.1,33.8
86,2021-08-06 00:00:00,61.92,88.0,33.5
87,2021-08-06 01:00:00,56.19,88.2,33.4
88,2021-08-06 02:00:00,14.2,83.0,33.4
89,2021-08-06 03:00:00,10.5,80.2,33.4
90,2021-08-06 04:00:00,77.55,95.4,32.3
