,time,PM2.5,humidity,temperature
42,2021-11-12 12:00:00,37.0,53.1,23.8
43,2021-11-12 13:00:00,28.8,51.0,24.3
44,2021-11-12 14:00:00,29.6,49.4,25.0
45,2021-11-12 15:00:00,38.8,50.4,24.8
46,2021-11-12 16:00:00,36.1,53.5,24.1
47,2021-11-12 17:00:00,37.5,57.4,23.8
48,2021-11-12 18:00:00,44.4,60.3,23.6
49,2021-11-12 19:00:00,45.8,61.1,23.7
50,2021-11-12 20:00:00,50.1,63.4,23.4
51,2021-11-12 21:00:00,64.2,66.0,23.1
52,2021-11-12 22:00:00,67.9,69.2,22.6
53,2021-11-12 23:00:00,24.6,58.3,22.4
54,2021-11-13 00:00:00,16.3,58.7,22.0
55,2021-11-13 01:00:00,16.5,58.7,21.4
56,2021-11-13 02:00:00,15.7,60.3,21.1
57,2021-11-13 03:00:00,14.3,62.4,21.0
58,2021-11-13 04:00:00,13.8,62.0,20.7
59,2021-11-13 05:00:00,16.2,62.0,20.5
60,2021-11-13 06:00:00,19.2,61.3,20.2
61,2021-11-13 07:00:00,21.0,60.6,20.1
62,2021-11-13 08:00:00,21.3,59.3,20.5
63,2021-11-13 09:00:00,21.7,55.9,21.1
64,2021-11-13 10:00:00,22.0,51.8,22.0
65,2021-11-13 11:00:00,25.4,47.8,23.7
66,2021-11-13 12:00:00,26.1,43.1,25.2
67,2021-11-13 13:00:00,26.7,40.7,26.5
68,2021-11-13 14:00:00,29.0,40.2,26.8
69,2021-11-13 15:00:00,32.6,43.2,26.7
70,2021-11-13 16:00:00,36.6,46.6,26.3
71,2021-11-13 17:00:00,41.1,49.6,25.5
72,2021-11-13 18:00:00,46.7,55.8,23.9
73,2021-11-13 19:00:00,56.2,59.9,23.0
74,2021-11-13 20:00:00,53.2,61.8,22.4
75,2021-11-13 21:00:00,50.8,63.8,21.8
76,2021-11-13 22:00:00,50.0,67.3,21.2
77,2021-11-13 23:00:00,47.1,68.0,21.1
78,2021-11-14 00:00:00,46.0,69.6,20.8
79,2021-11-14 01:00:00,48.9,71.8,20.5
80,2021-11-14 02:00:00,48.6,72.8,20.2
81,2021-11-14 03:00:00,52.5,74.0,19.8
82,2021-11-14 04:00:00,55.0,75.6,19.6
83,2021-11-14 05:00:00,56.9,76.6,19.7
84,2021-11-14 06:00:00,69.9,77.1,19.7
85,2021-11-14 07:00:00,64.6,76.7,19.8
86,2021-11-14 08:00:00,54.9,73.8,20.1
87,2021-11-14 09:00:00,58.8,68.5,21.3
88,2021-11-14 10:00:00,57.4,59.6,22.4
89,2021-11-14 11:00:00,54.3,51.5,24.3
90,2021-11-14 12:00:00,49.0,45.8,26.1
91,2021-11-14 13:00:00,40.1,42.2,27.2
92,2021-11-14 14:00:00,37.8,41.8,26.9
93,2021-11-14 15:00:00,36.3,40.7,27.3
94,2021-11-14 16:00:00,38.1,42.8,26.7
95,2021-11-14 17:00:00,36.7,46.2,26.1
96,2021-11-14 18:00:00,51.9,53.6,25.1
97,2021-11-14 19:00:00,51.5,58.2,24.6
98,2021-11-14 20:00:00,92.9,59.6,24.1
99,2021-11-14 21:00:00,81.2,67.5,22.8
100,2021-11-14 22:00:00,77.1,70.5,22.4
101,2021-11-14 23:00:00,65.4,69.2,22.3
102,2021-11-15 00:00:00,62.0,69.8,22.5
103,2021-11-15 01:00:00,52.1,71.7,22.0
104,2021-11-15 02:00:00,52.8,73.6,22.0
105,2021-11-15 03:00:00,54.3,74.7,21.7
106,2021-11-15 04:00:00,57.9,76.1,21.5
107,2021-11-15 05:00:00,60.8,78.0,21.0
108,2021-11-15 06:00:00,66.9,78.0,20.9
109,2021-11-15 07:00:00,70.4,77.8,20.8
110,2021-11-15 08:00:00,73.6,75.0,21.8
111,2021-11-15 09:00:00,86.7,72.0,22.8
112,2021-11-15 10:00:00,101.8,63.0,24.6
113,2021-11-15 11:00:00,109.5,60.1,25.4
114,2021-11-15 12:00:00,130.5,59.5,25.9
115,2021-11-15 13:00:00,128.6,58.9,25.9
116,2021-11-15 14:00:00,96.9,59.4,25.7
117,2021-11-15 15:00:00,71.2,59.9,25.5
118,2021-11-15 16:00:00,53.4,64.9,24.9
119,2021-11-15 17:00:00,62.4,67.8,24.1
120,2021-11-15 18:00:00,73.6,71.6,23.5
121,2021-11-15 19:00:00,64.5,74.2,22.7
122,2021-11-15 20:00:00,61.4,76.2,22.5
123,2021-11-15 21:00:00,58.2,77.0,22.4
124,2021-11-15 22:00:00,62.0,78.5,22.3
125,2021-11-15 23:00:00,73.8,79.7,22.0
126,2021-11-16 00:00:00,76.5,80.1,22.0
127,2021-11-16 01:00:00,81.4,79.1,22.5
128,2021-11-16 02:00:00,87.5,78.4,22.6
129,2021-11-16 03:00:00,86.0,78.8,22.4
130,2021-11-16 04:00:00,83.7,78.8,22.4
131,2021-11-16 05:00:00,85.4,78.8,22.4
132,2021-11-16 06:00:00,94.2,79.7,22.4
133,2021-11-16 07:00:00,77.1,80.1,22.2
134,2021-11-16 08:00:00,76.0,79.3,22.2
135,2021-11-16 09:00:00,78.3,76.4,22.2
136,2021-11-16 10:00:00,90.1,75.8,22.3
137,2021-11-16 11:00:00,106.6,76.3,22.3
138,2021-11-16 12:00:00,112.4,75.5,22.4
139,2021-11-16 13:00:00,111.0,79.8,22.0
140,2021-11-16 14:00:00,116.8,81.8,21.9
141,2021-11-16 15:00:00,124.4,81.9,21.9
142,2021-11-16 16:00:00,131.9,81.2,22.0
143,2021-11-16 17:00:00,131.0,81.7,21.9
144,2021-11-16 18:00:00,141.2,81.5,21.9
145,2021-11-16 19:00:00,142.0,82.2,21.5
146,2021-11-16 20:00:00,132.6,82.8,21.3
147,2021-11-16 21:00:00,127.1,82.7,21.5
148,2021-11-16 22:00:00,127.3,82.4,21.8
149,2021-11-16 23:00:00,133.9,82.2,21.8
150,2021-11-17 00:00:00,134.8,82.7,21.6
151,2021-11-17 01:00:00,141.2,82.8,21.6
152,2021-11-17 02:00:00,145.5,83.2,21.3
153,2021-11-17 03:00:00,150.6,83.2,21.4
154,2021-11-17 04:00:00,143.4,83.3,21.5
155,2021-11-17 05:00:00,143.8,83.4,21.5
156,2021-11-17 06:00:00,142.6,83.1,21.6
157,2021-11-17 07:00:00,138.3,83.2,21.6
158,2021-11-17 08:00:00,140.2,83.4,21.8
159,2021-11-17 09:00:00,134.2,83.5,21.8
160,2021-11-17 10:00:00,90.5,82.9,22.0
161,2021-11-17 11:00:00,75.1,82.5,22.2
162,2021-11-17 12:00:00,73.3,82.6,22.2
163,2021-11-17 13:00:00,56.4,82.4,22.1
164,2021-11-17 14:00:00,57.6,82.3,22.1
165,2021-11-17 15:00:00,49.2,81.7,22.1
166,2021-11-17 16:00:00,30.1,78.5,22.0
167,2021-11-17 17:00:00,34.4,80.6,21.8
