,time,PM2.5,humidity,temperature
0,2021-11-12 20:00:00,38.3,56.5,24.0
1,2021-11-12 21:00:00,40.6,57.5,23.6
2,2021-11-12 22:00:00,35.5,57.4,23.3
3,2021-11-12 23:00:00,17.8,54.6,23.0
4,2021-11-13 00:00:00,14.9,54.8,22.5
5,2021-11-13 01:00:00,12.1,54.2,22.1
6,2021-11-13 02:00:00,11.9,55.1,21.8
7,2021-11-13 03:00:00,11.4,54.9,21.7
8,2021-11-13 04:00:00,13.1,56.0,21.3
9,2021-11-13 05:00:00,16.2,56.0,21.1
10,2021-11-13 06:00:00,15.7,55.0,20.8
11,2021-11-13 07:00:00,21.2,54.7,20.8
12,2021-11-13 08:00:00,28.7,54.5,20.9
13,2021-11-13 09:00:00,23.1,53.2,21.3
14,2021-11-13 10:00:00,20.2,48.5,22.5
15,2021-11-13 11:00:00,19.8,46.1,23.5
16,2021-11-13 12:00:00,20.0,44.4,24.5
17,2021-11-13 13:00:00,20.0,44.2,25.2
18,2021-11-13 14:00:00,22.5,43.9,25.8
19,2021-11-13 15:00:00,26.2,45.9,25.9
20,2021-11-13 16:00:00,29.8,48.1,25.5
21,2021-11-13 17:00:00,38.7,51.6,24.7
22,2021-11-13 18:00:00,53.8,55.2,23.9
23,2021-11-13 19:00:00,45.4,56.8,23.3
24,2021-11-13 20:00:00,44.2,56.1,23.1
25,2021-11-13 21:00:00,48.9,60.1,22.3
26,2021-11-13 22:00:00,43.4,62.6,21.9
27,2021-11-13 23:00:00,54.3,62.0,22.2
28,2021-11-14 00:00:00,49.7,62.5,22.2
29,2021-11-14 01:00:00,45.4,64.5,21.7
30,2021-11-14 02:00:00,48.7,67.1,21.1
31,2021-11-14 03:00:00,54.8,68.1,21.0
32,2021-11-14 04:00:00,67.9,68.6,20.5
33,2021-11-14 05:00:00,62.0,70.2,20.2
34,2021-11-14 06:00:00,46.0,67.5,20.3
35,2021-11-14 07:00:00,44.3,67.2,20.2
36,2021-11-14 08:00:00,47.8,64.6,20.6
37,2021-11-14 09:00:00,52.0,59.0,21.7
38,2021-11-14 10:00:00,43.5,52.3,23.4
39,2021-11-14 11:00:00,37.5,49.4,24.1
40,2021-11-14 12:00:00,30.0,45.6,25.2
41,2021-11-14 13:00:00,26.0,43.0,26.0
42,2021-11-14 14:00:00,26.8,42.4,26.7
43,2021-11-14 15:00:00,22.9,41.3,26.9
44,2021-11-14 16:00:00,23.5,42.7,26.5
45,2021-11-14 17:00:00,24.0,44.2,25.8
46,2021-11-14 18:00:00,28.7,46.1,25.1
47,2021-11-14 19:00:00,47.5,52.4,24.6
48,2021-11-14 20:00:00,93.0,52.2,23.9
49,2021-11-14 21:00:00,76.1,58.4,22.8
50,2021-11-14 22:00:00,59.7,62.2,22.6
51,2021-11-14 23:00:00,72.4,64.5,22.6
52,2021-11-15 00:00:00,71.0,65.5,22.8
53,2021-11-15 01:00:00,69.4,64.8,22.8
54,2021-11-15 02:00:00,72.3,66.0,22.4
55,2021-11-15 03:00:00,74.3,68.9,21.7
56,2021-11-15 04:00:00,96.1,69.2,21.7
57,2021-11-15 05:00:00,84.9,69.8,21.4
58,2021-11-15 06:00:00,76.9,68.9,21.9
59,2021-11-15 07:00:00,100.5,68.8,21.9
60,2021-11-15 08:00:00,101.7,71.1,22.1
61,2021-11-15 09:00:00,98.3,68.1,22.8
62,2021-11-15 10:00:00,82.0,61.3,23.8
63,2021-11-15 11:00:00,73.6,56.2,25.3
64,2021-11-15 12:00:00,67.3,53.8,26.1
65,2021-11-15 13:00:00,65.2,53.3,26.5
66,2021-11-15 14:00:00,58.8,54.0,26.2
67,2021-11-15 15:00:00,47.5,56.5,25.6
68,2021-11-15 16:00:00,28.7,60.3,24.7
69,2021-11-15 17:00:00,42.2,65.4,23.8
70,2021-11-15 18:00:00,38.9,67.3,23.1
71,2021-11-15 19:00:00,47.7,64.4,23.2
72,2021-11-15 20:00:00,39.3,62.1,23.6
73,2021-11-15 21:00:00,42.8,62.3,23.4
74,2021-11-15 22:00:00,49.8,63.1,23.3
75,2021-11-15 23:00:00,61.4,64.3,23.5
76,2021-11-16 00:00:00,53.7,65.0,23.8
77,2021-11-16 01:00:00,73.4,66.6,23.4
78,2021-11-16 02:00:00,76.4,68.6,23.2
79,2021-11-16 03:00:00,70.1,69.1,23.2
80,2021-11-16 04:00:00,60.8,68.1,23.3
81,2021-11-16 05:00:00,59.4,68.4,23.2
82,2021-11-16 06:00:00,53.6,68.2,23.0
83,2021-11-16 07:00:00,65.2,71.3,22.8
84,2021-11-16 08:00:00,79.2,70.4,22.8
85,2021-11-16 09:00:00,72.5,67.8,22.7
86,2021-11-16 10:00:00,67.3,68.1,22.6
87,2021-11-16 11:00:00,73.7,71.5,22.3
88,2021-11-16 12:00:00,84.3,76.1,21.8
89,2021-11-16 13:00:00,89.2,75.0,22.0
90,2021-11-16 14:00:00,101.5,77.8,21.8
91,2021-11-16 15:00:00,104.9,77.4,22.1
92,2021-11-16 16:00:00,93.2,75.5,22.4
93,2021-11-16 17:00:00,91.4,74.9,22.6
94,2021-11-16 18:00:00,100.2,75.5,22.4
95,2021-11-16 19:00:00,103.4,76.2,22.4
96,2021-11-16 20:00:00,104.6,75.3,22.5
97,2021-11-16 21:00:00,100.7,75.4,22.6
98,2021-11-16 22:00:00,93.5,74.9,22.6
99,2021-11-16 23:00:00,78.4,75.2,22.5
100,2021-11-17 00:00:00,68.2,76.3,22.4
101,2021-11-17 01:00:00,60.3,76.5,22.4
102,2021-11-17 02:00:00,54.3,76.2,22.4
103,2021-11-17 03:00:00,48.8,76.0,22.4
104,2021-11-17 04:00:00,54.3,76.0,22.5
105,2021-11-17 05:00:00,60.2,77.1,22.3
106,2021-11-17 06:00:00,56.9,77.8,22.2
107,2021-11-17 07:00:00,53.1,78.3,22.1
108,2021-11-17 08:00:00,57.0,78.2,22.2
109,2021-11-17 09:00:00,63.7,79.1,22.3
110,2021-11-17 10:00:00,61.6,78.3,22.6
111,2021-11-17 11:00:00,59.0,78.5,22.7
112,2021-11-17 12:00:00,40.2,79.9,22.4
113,2021-11-17 13:00:00,33.4,80.3,22.2
114,2021-11-17 14:00:00,34.0,78.9,22.3
115,2021-11-17 15:00:00,24.7,78.0,22.2
116,2021-11-17 16:00:00,15.5,75.4,22.3
117,2021-11-17 17:00:00,16.8,74.3,22.3
118,2021-11-17 18:00:00,16.9,73.1,22.2
119,2021-11-17 19:00:00,7.9,70.7,21.9
120,2021-11-17 20:00:00,5.0,69.2,21.8
121,2021-11-17 21:00:00,3.4,68.1,21.5
122,2021-11-17 22:00:00,4.2,67.5,21.5
123,2021-11-17 23:00:00,2.9,65.1,21.2
124,2021-11-18 00:00:00,4.8,64.1,21.0
125,2021-11-18 01:00:00,5.0,63.7,20.8
126,2021-11-18 02:00:00,10.8,64.0,20.6
127,2021-11-18 03:00:00,10.1,64.0,20.5
128,2021-11-18 04:00:00,20.2,64.3,20.3
129,2021-11-18 05:00:00,18.5,64.5,20.2
130,2021-11-18 06:00:00,25.4,64.7,20.1
131,2021-11-18 07:00:00,9.4,66.0,20.1
132,2021-11-18 08:00:00,12.5,64.6,20.3
133,2021-11-18 09:00:00,14.4,61.7,20.9
134,2021-11-18 10:00:00,15.3,58.4,21.7
135,2021-11-18 11:00:00,19.0,56.0,22.6
136,2021-11-18 12:00:00,21.1,55.9,22.4
137,2021-11-18 13:00:00,21.9,56.2,22.4
138,2021-11-18 14:00:00,23.1,55.9,22.5
139,2021-11-18 15:00:00,24.6,55.6,22.6
140,2021-11-18 16:00:00,25.0,55.3,22.6
141,2021-11-18 17:00:00,31.6,54.8,22.5
142,2021-11-18 18:00:00,33.8,61.1,22.0
143,2021-11-18 19:00:00,44.8,67.4,21.6
144,2021-11-18 20:00:00,57.0,68.1,21.5
145,2021-11-18 21:00:00,49.8,70.1,20.9
146,2021-11-18 22:00:00,66.4,71.5,19.9
147,2021-11-18 23:00:00,65.2,70.2,19.8
148,2021-11-19 00:00:00,78.2,70.0,19.5
149,2021-11-19 01:00:00,68.0,70.9,19.2
150,2021-11-19 02:00:00,51.9,71.5,18.9
151,2021-11-19 03:00:00,87.6,72.3,18.8
152,2021-11-19 04:00:00,103.1,72.8,19.1
153,2021-11-19 05:00:00,69.6,74.1,19.1
154,2021-11-19 06:00:00,70.9,75.4,19.0
155,2021-11-19 07:00:00,65.0,76.9,19.0
156,2021-11-19 08:00:00,72.9,75.8,19.5
157,2021-11-19 09:00:00,83.0,72.5,20.6
158,2021-11-19 10:00:00,64.9,68.4,21.6
159,2021-11-19 11:00:00,52.6,67.5,22.6
160,2021-11-19 12:00:00,51.6,67.5,23.2
161,2021-11-19 13:00:00,56.3,68.8,23.4
162,2021-11-19 14:00:00,53.8,68.9,23.8
163,2021-11-19 15:00:00,47.9,71.8,23.6
164,2021-11-19 16:00:00,35.6,72.4,23.7
165,2021-11-19 17:00:00,26.9,72.0,23.6
166,2021-11-19 18:00:00,25.6,72.9,23.3
167,2021-11-19 19:00:00,30.3,74.7,23.1
