,time,PM2.5,humidity,temperature
0,2021-10-31 20:00:00,,,
1,2021-10-31 21:00:00,,,
2,2021-10-31 22:00:00,,,
3,2021-10-31 23:00:00,,,
4,2021-11-01 00:00:00,,,
5,2021-11-01 01:00:00,,,
6,2021-11-01 02:00:00,,,
7,2021-11-01 03:00:00,,,
8,2021-11-01 04:00:00,,,
9,2021-11-01 05:00:00,,,
10,2021-11-01 06:00:00,,,
11,2021-11-01 07:00:00,,,
12,2021-11-01 08:00:00,,,
13,2021-11-01 09:00:00,,,
14,2021-11-01 10:00:00,,,
15,2021-11-01 11:00:00,,,
16,2021-11-01 12:00:00,,,
17,2021-11-01 13:00:00,,,
18,2021-11-01 14:00:00,,,
19,2021-11-01 15:00:00,,,
20,2021-11-01 16:00:00,,,
21,2021-11-01 17:00:00,,,
22,2021-11-01 18:00:00,,,
23,2021-11-01 19:00:00,,,
24,2021-11-01 20:00:00,,,
25,2021-11-01 21:00:00,,,
26,2021-11-01 22:00:00,,,
27,2021-11-01 23:00:00,,,
28,2021-11-02 00:00:00,,,
29,2021-11-02 01:00:00,,,
30,2021-11-02 02:00:00,,,
31,2021-11-02 03:00:00,,,
32,2021-11-02 04:00:00,,,
33,2021-11-02 05:00:00,,,
34,2021-11-02 06:00:00,,,
35,2021-11-02 07:00:00,,,
36,2021-11-02 08:00:00,,,
37,2021-11-02 09:00:00,,,
38,2021-11-02 10:00:00,,,
39,2021-11-02 11:00:00,,,
40,2021-11-02 12:00:00,,,
41,2021-11-02 13:00:00,,,
42,2021-11-02 14:00:00,,,
43,2021-11-02 15:00:00,,,
44,2021-11-02 16:00:00,,,
45,2021-11-02 17:00:00,,,
46,2021-11-02 18:00:00,,,
47,2021-11-02 19:00:00,,,
48,2021-11-02 20:00:00,,,
49,2021-11-02 21:00:00,,,
50,2021-11-02 22:00:00,,,
51,2021-11-02 23:00:00,,,
52,2021-11-03 00:00:00,,,
53,2021-11-03 01:00:00,,,
54,2021-11-03 02:00:00,,,
55,2021-11-03 03:00:00,,,
56,2021-11-03 04:00:00,,,
57,2021-11-03 05:00:00,,,
58,2021-11-03 06:00:00,,,
59,2021-11-03 07:00:00,,,
60,2021-11-03 08:00:00,,,
61,2021-11-03 09:00:00,,,
62,2021-11-03 10:00:00,,,
63,2021-11-03 11:00:00,,,
