,time,PM2.5,humidity,temperature
0,2021-09-23 10:00:00,12.4,90.6,29.5
1,2021-09-23 11:00:00,10.2,85.5,30.4
2,2021-09-23 12:00:00,8.1,82.6,31.0
3,2021-09-23 13:00:00,5.6,82.2,30.9
4,2021-09-23 14:00:00,4.5,79.4,31.7
5,2021-09-23 15:00:00,3.8,77.4,32.2
6,2021-09-23 16:00:00,4.5,77.9,31.5
7,2021-09-23 17:00:00,4.9,84.3,30.4
8,2021-09-23 18:00:00,3.4,97.1,28.3
9,2021-09-23 19:00:00,6.0,96.3,28.7
10,2021-09-23 20:00:00,9.1,95.2,28.9
11,2021-09-23 21:00:00,12.0,97.3,28.6
12,2021-09-23 22:00:00,9.6,96.7,28.5
13,2021-09-23 23:00:00,11.4,96.4,28.5
14,2021-09-24 00:00:00,11.5,98.0,28.4
15,2021-09-24 01:00:00,9.1,98.7,28.0
16,2021-09-24 02:00:00,6.2,97.0,27.5
17,2021-09-24 03:00:00,6.3,96.6,27.4
18,2021-09-24 04:00:00,8.7,98.9,27.2
19,2021-09-24 05:00:00,9.1,99.7,27.3
20,2021-09-24 06:00:00,9.6,99.9,27.2
21,2021-09-24 07:00:00,8.8,99.5,27.3
22,2021-09-24 08:00:00,7.5,98.6,27.5
23,2021-09-24 09:00:00,4.9,99.0,27.3
24,2021-09-24 10:00:00,4.7,100.0,26.7
25,2021-09-24 11:00:00,6.4,100.0,27.3
26,2021-09-24 12:00:00,7.1,100.0,27.4
27,2021-09-24 13:00:00,6.0,100.0,27.7
28,2021-09-24 14:00:00,5.9,100.0,27.9
29,2021-09-24 15:00:00,4.6,100.0,28.0
30,2021-09-24 16:00:00,3.4,100.0,28.2
31,2021-09-24 17:00:00,4.4,99.5,28.3
32,2021-09-24 18:00:00,5.0,99.4,27.8
33,2021-09-24 19:00:00,4.9,100.0,27.3
34,2021-09-24 20:00:00,6.0,100.0,27.0
35,2021-09-24 21:00:00,6.5,100.0,26.9
36,2021-09-24 22:00:00,3.7,100.0,26.7
37,2021-09-24 23:00:00,2.7,100.0,26.3
38,2021-09-25 00:00:00,7.4,100.0,26.1
39,2021-09-25 01:00:00,7.6,100.0,25.9
40,2021-09-25 02:00:00,3.4,100.0,25.6
41,2021-09-25 03:00:00,5.1,100.0,25.5
42,2021-09-25 04:00:00,8.0,100.0,25.8
43,2021-09-25 05:00:00,8.0,100.0,24.1
44,2021-09-25 06:00:00,8.0,100.0,24.4
45,2021-09-25 07:00:00,8.0,100.0,24.8
46,2021-09-25 08:00:00,8.0,100.0,25.3
