,time,PM2.5,humidity,temperature
0,2021-11-20 18:00:00,17.8,68.7,26.8
1,2021-11-20 19:00:00,19.4,71.8,26.1
2,2021-11-20 20:00:00,22.8,75.3,25.4
3,2021-11-20 21:00:00,21.1,77.7,24.8
4,2021-11-20 22:00:00,21.6,79.7,24.5
5,2021-11-20 23:00:00,23.4,81.0,24.3
6,2021-11-21 00:00:00,22.4,81.9,24.3
7,2021-11-21 01:00:00,23.0,82.5,24.4
8,2021-11-21 02:00:00,20.3,83.0,24.4
9,2021-11-21 03:00:00,18.3,83.2,24.4
10,2021-11-21 04:00:00,19.2,84.0,24.2
11,2021-11-21 05:00:00,17.8,84.4,24.0
12,2021-11-21 06:00:00,26.2,84.9,23.9
13,2021-11-21 07:00:00,24.3,84.9,24.0
14,2021-11-21 08:00:00,18.8,85.1,24.3
15,2021-11-21 09:00:00,23.6,84.6,24.9
16,2021-11-21 10:00:00,16.8,78.2,26.9
17,2021-11-21 11:00:00,15.2,70.5,28.3
18,2021-11-21 12:00:00,17.0,65.9,29.6
19,2021-11-21 13:00:00,14.2,61.7,30.8
20,2021-11-21 14:00:00,10.7,57.4,31.8
21,2021-11-21 15:00:00,9.5,57.6,31.4
22,2021-11-21 16:00:00,10.7,60.9,30.3
23,2021-11-21 17:00:00,9.6,63.3,29.4
24,2021-11-21 18:00:00,11.3,66.4,28.2
25,2021-11-21 19:00:00,14.6,71.4,27.2
26,2021-11-21 20:00:00,26.6,78.4,26.1
27,2021-11-21 21:00:00,22.6,80.7,25.5
28,2021-11-21 22:00:00,14.1,80.2,25.2
29,2021-11-21 23:00:00,13.7,80.1,25.2
30,2021-11-22 00:00:00,13.7,80.1,25.1
31,2021-11-22 01:00:00,15.1,80.0,25.1
32,2021-11-22 02:00:00,19.3,80.4,24.9
33,2021-11-22 03:00:00,36.2,79.5,25.0
34,2021-11-22 04:00:00,9.0,78.5,24.4
35,2021-11-22 05:00:00,2.7,76.2,23.3
36,2021-11-22 06:00:00,1.2,72.2,22.6
37,2021-11-22 07:00:00,1.0,68.9,22.1
38,2021-11-22 08:00:00,2.1,67.5,21.5
39,2021-11-22 09:00:00,2.7,64.2,21.3
40,2021-11-22 10:00:00,3.1,61.4,21.4
41,2021-11-22 11:00:00,3.3,59.3,21.5
42,2021-11-22 12:00:00,3.9,57.2,22.3
43,2021-11-22 13:00:00,2.9,56.2,22.5
44,2021-11-22 14:00:00,3.2,55.2,22.4
45,2021-11-22 15:00:00,3.1,53.8,22.6
46,2021-11-22 16:00:00,4.2,53.5,22.6
47,2021-11-22 17:00:00,6.4,54.2,21.9
48,2021-11-22 18:00:00,5.0,55.4,21.6
49,2021-11-22 19:00:00,7.9,56.3,21.1
50,2021-11-22 20:00:00,8.1,56.3,20.6
51,2021-11-22 21:00:00,4.1,54.0,20.2
52,2021-11-22 22:00:00,3.7,53.8,20.0
53,2021-11-22 23:00:00,2.5,53.6,19.7
54,2021-11-23 00:00:00,2.2,53.6,19.4
55,2021-11-23 01:00:00,2.2,53.5,19.0
56,2021-11-23 02:00:00,2.9,53.9,19.0
57,2021-11-23 03:00:00,3.1,54.8,18.7
58,2021-11-23 04:00:00,3.7,55.4,18.5
59,2021-11-23 05:00:00,2.9,55.8,18.2
60,2021-11-23 06:00:00,3.1,56.3,18.0
61,2021-11-23 07:00:00,6.4,57.1,18.2
62,2021-11-23 08:00:00,9.8,57.1,18.4
63,2021-11-23 09:00:00,9.6,56.3,18.5
64,2021-11-23 10:00:00,9.3,54.9,18.9
65,2021-11-23 11:00:00,7.8,50.5,20.2
66,2021-11-23 12:00:00,16.8,49.6,20.7
67,2021-11-23 13:00:00,15.8,48.3,21.6
68,2021-11-23 14:00:00,9.3,47.9,21.8
69,2021-11-23 15:00:00,11.2,49.0,21.6
70,2021-11-23 16:00:00,12.9,49.7,21.3
71,2021-11-23 17:00:00,22.5,53.8,20.7
72,2021-11-23 18:00:00,29.4,60.9,20.1
73,2021-11-23 19:00:00,19.3,60.0,19.9
74,2021-11-23 20:00:00,13.8,58.5,19.8
75,2021-11-23 21:00:00,16.3,59.6,19.6
76,2021-11-23 22:00:00,16.3,61.1,19.4
77,2021-11-23 23:00:00,17.5,61.7,19.3
78,2021-11-24 00:00:00,13.6,60.6,19.1
79,2021-11-24 01:00:00,12.7,59.5,19.1
80,2021-11-24 02:00:00,14.3,59.7,18.9
81,2021-11-24 03:00:00,22.9,57.7,18.7
82,2021-11-24 04:00:00,12.8,56.1,18.5
83,2021-11-24 05:00:00,9.1,55.7,18.5
84,2021-11-24 06:00:00,15.9,55.8,18.2
85,2021-11-24 07:00:00,13.8,55.2,18.3
86,2021-11-24 08:00:00,15.3,53.6,18.4
87,2021-11-24 09:00:00,13.8,51.2,19.1
88,2021-11-24 10:00:00,11.4,48.4,20.0
89,2021-11-24 11:00:00,10.5,45.7,21.1
90,2021-11-24 12:00:00,10.6,43.6,22.0
91,2021-11-24 13:00:00,12.5,44.3,22.7
92,2021-11-24 14:00:00,9.5,44.9,23.0
93,2021-11-24 15:00:00,10.1,47.4,22.7
94,2021-11-24 16:00:00,13.2,50.0,22.0
95,2021-11-24 17:00:00,19.5,53.3,21.4
96,2021-11-24 18:00:00,30.2,55.8,20.9
97,2021-11-24 19:00:00,25.6,58.8,20.4
98,2021-11-24 20:00:00,26.8,62.3,19.8
99,2021-11-24 21:00:00,26.2,63.1,19.7
100,2021-11-24 22:00:00,31.9,65.1,19.3
101,2021-11-24 23:00:00,29.3,67.9,18.8
102,2021-11-25 00:00:00,22.5,68.0,18.5
103,2021-11-25 01:00:00,20.9,68.8,18.3
104,2021-11-25 02:00:00,21.1,69.9,18.2
105,2021-11-25 03:00:00,20.0,72.1,17.9
106,2021-11-25 04:00:00,18.1,71.9,17.7
107,2021-11-25 05:00:00,21.3,73.7,17.7
108,2021-11-25 06:00:00,27.0,75.5,17.5
109,2021-11-25 07:00:00,28.2,75.8,17.5
110,2021-11-25 08:00:00,23.3,71.5,18.1
111,2021-11-25 09:00:00,19.8,67.7,18.7
112,2021-11-25 10:00:00,19.0,65.7,19.2
113,2021-11-25 11:00:00,20.2,63.5,20.0
114,2021-11-25 12:00:00,16.1,56.4,20.9
115,2021-11-25 13:00:00,16.2,54.8,21.5
116,2021-11-25 14:00:00,16.7,56.3,21.6
117,2021-11-25 15:00:00,21.1,58.0,21.7
118,2021-11-25 16:00:00,19.3,58.5,21.7
119,2021-11-25 17:00:00,22.4,59.8,21.4
120,2021-11-25 18:00:00,27.5,61.2,21.0
121,2021-11-25 19:00:00,41.6,62.5,20.9
122,2021-11-25 20:00:00,49.8,65.0,20.7
123,2021-11-25 21:00:00,45.7,67.1,20.3
124,2021-11-25 22:00:00,43.3,67.6,20.0
125,2021-11-25 23:00:00,33.7,67.2,19.9
126,2021-11-26 00:00:00,34.3,68.8,19.7
127,2021-11-26 01:00:00,42.9,69.7,19.6
128,2021-11-26 02:00:00,37.5,71.0,19.2
129,2021-11-26 03:00:00,42.4,73.6,18.7
130,2021-11-26 04:00:00,33.1,75.1,18.3
131,2021-11-26 05:00:00,18.7,73.9,18.1
132,2021-11-26 06:00:00,23.1,74.5,18.1
133,2021-11-26 07:00:00,30.6,76.2,18.3
134,2021-11-26 08:00:00,35.3,77.4,18.7
135,2021-11-26 09:00:00,34.2,75.6,19.1
136,2021-11-26 10:00:00,35.8,71.7,20.1
137,2021-11-26 11:00:00,39.1,63.6,22.3
138,2021-11-26 12:00:00,36.5,59.1,23.5
139,2021-11-26 13:00:00,25.5,51.9,24.8
140,2021-11-26 14:00:00,16.9,48.4,24.9
141,2021-11-26 15:00:00,17.4,47.2,24.7
142,2021-11-26 16:00:00,23.1,49.6,24.3
143,2021-11-26 17:00:00,25.2,51.5,23.7
144,2021-11-26 18:00:00,28.2,52.2,23.1
145,2021-11-26 19:00:00,31.8,52.9,22.8
146,2021-11-26 20:00:00,50.5,58.2,22.5
147,2021-11-26 21:00:00,53.0,63.3,22.3
148,2021-11-26 22:00:00,66.1,64.5,22.2
149,2021-11-26 23:00:00,52.9,67.7,22.1
150,2021-11-27 00:00:00,50.5,68.3,21.9
151,2021-11-27 01:00:00,58.3,72.3,21.5
152,2021-11-27 02:00:00,54.0,72.6,21.2
153,2021-11-27 03:00:00,50.0,74.1,20.9
154,2021-11-27 04:00:00,42.1,74.5,20.4
155,2021-11-27 05:00:00,28.7,74.0,20.0
156,2021-11-27 06:00:00,35.0,76.0,19.7
