,time,PM2.5,humidity,temperature
0,2021-07-23 16:00:00,1.6,100.0,27.6
1,2021-07-23 17:00:00,3.7,100.0,27.6
2,2021-07-23 18:00:00,4.9,100.0,27.9
3,2021-07-23 19:00:00,3.7,100.0,27.8
4,2021-07-23 20:00:00,3.4,100.0,27.6
5,2021-07-23 21:00:00,4.1,100.0,27.3
6,2021-07-23 22:00:00,4.4,100.0,27.2
7,2021-07-23 23:00:00,3.7,100.0,27.4
8,2021-07-24 00:00:00,3.9,100.0,27.4
9,2021-07-24 01:00:00,4.4,100.0,27.4
10,2021-07-24 02:00:00,3.2,100.0,27.4
11,2021-07-24 03:00:00,4.2,100.0,27.4
12,2021-07-24 04:00:00,8.2,100.0,27.3
13,2021-07-24 05:00:00,6.4,100.0,27.4
14,2021-07-24 06:00:00,5.7,100.0,27.3
15,2021-07-24 07:00:00,7.6,100.0,27.7
16,2021-07-24 08:00:00,7.7,100.0,29.0
17,2021-07-24 09:00:00,8.3,98.6,30.6
18,2021-07-24 10:00:00,9.8,93.4,31.8
19,2021-07-24 11:00:00,8.6,85.8,32.8
20,2021-07-24 12:00:00,9.0,77.1,34.0
21,2021-07-24 13:00:00,8.5,75.8,34.3
22,2021-07-24 14:00:00,8.3,74.4,34.7
23,2021-07-24 15:00:00,8.9,73.4,35.1
24,2021-07-24 16:00:00,8.9,73.0,35.1
25,2021-07-24 17:00:00,6.0,82.2,33.1
26,2021-07-24 18:00:00,4.6,83.3,32.6
27,2021-07-24 19:00:00,5.2,85.0,32.3
28,2021-07-24 20:00:00,4.4,92.5,31.2
29,2021-07-24 21:00:00,3.0,92.2,30.9
30,2021-07-24 22:00:00,2.1,92.7,30.8
31,2021-07-24 23:00:00,1.9,92.5,30.8
32,2021-07-25 00:00:00,1.8,92.6,30.7
33,2021-07-25 01:00:00,1.8,93.0,30.6
34,2021-07-25 02:00:00,1.8,95.5,30.3
35,2021-07-25 03:00:00,4.3,97.5,30.0
36,2021-07-25 04:00:00,6.1,98.5,29.8
37,2021-07-25 05:00:00,3.9,99.6,29.7
38,2021-07-25 06:00:00,5.6,100.0,29.5
39,2021-07-25 07:00:00,9.2,100.0,29.7
40,2021-07-25 08:00:00,12.6,97.3,30.2
41,2021-07-25 09:00:00,9.9,91.4,31.4
42,2021-07-25 10:00:00,14.3,87.2,32.5
43,2021-07-25 11:00:00,11.9,79.0,34.6
44,2021-07-25 12:00:00,9.2,72.6,35.3
45,2021-07-25 13:00:00,10.3,72.4,35.7
46,2021-07-25 14:00:00,10.8,71.2,36.1
47,2021-07-25 15:00:00,11.2,72.0,35.4
48,2021-07-25 16:00:00,9.2,77.3,34.0
49,2021-07-25 17:00:00,9.5,76.2,33.5
50,2021-07-25 18:00:00,9.0,75.9,32.8
51,2021-07-25 19:00:00,11.6,77.6,32.0
52,2021-07-25 20:00:00,14.1,82.1,31.5
53,2021-07-25 21:00:00,14.2,84.8,31.0
54,2021-07-25 22:00:00,17.4,87.5,30.8
55,2021-07-25 23:00:00,17.8,88.8,30.5
56,2021-07-26 00:00:00,7.7,85.8,30.0
57,2021-07-26 01:00:00,7.4,83.0,30.1
58,2021-07-26 02:00:00,8.0,83.5,30.0
59,2021-07-26 03:00:00,7.2,91.1,29.4
60,2021-07-26 04:00:00,6.4,95.1,28.9
61,2021-07-26 05:00:00,5.5,94.1,28.7
62,2021-07-26 06:00:00,4.8,95.1,28.5
63,2021-07-26 07:00:00,6.9,94.2,28.6
64,2021-07-26 08:00:00,8.0,94.1,29.0
65,2021-07-26 09:00:00,9.7,89.4,30.3
66,2021-07-26 10:00:00,9.7,82.1,32.4
67,2021-07-26 11:00:00,11.5,79.9,33.2
68,2021-07-26 12:00:00,12.1,77.7,34.1
69,2021-07-26 13:00:00,8.9,73.5,34.6
70,2021-07-26 14:00:00,8.5,69.4,35.1
71,2021-07-26 15:00:00,9.1,68.2,35.2
72,2021-07-26 16:00:00,9.5,68.0,35.5
73,2021-07-26 17:00:00,10.3,68.1,35.2
74,2021-07-26 18:00:00,10.4,71.0,34.8
75,2021-07-26 19:00:00,9.8,75.1,33.8
76,2021-07-26 20:00:00,13.4,83.7,32.6
77,2021-07-26 21:00:00,8.9,86.5,31.2
78,2021-07-26 22:00:00,6.3,90.7,30.6
79,2021-07-26 23:00:00,4.4,88.0,30.6
80,2021-07-27 00:00:00,4.6,87.4,30.7
81,2021-07-27 01:00:00,5.7,88.5,30.7
82,2021-07-27 02:00:00,6.8,91.4,30.4
83,2021-07-27 03:00:00,6.7,93.2,30.1
84,2021-07-27 04:00:00,7.1,93.6,30.1
85,2021-07-27 05:00:00,7.2,95.7,29.8
86,2021-07-27 06:00:00,7.0,97.3,29.6
87,2021-07-27 07:00:00,6.6,96.1,29.7
88,2021-07-27 08:00:00,9.1,91.8,30.6
89,2021-07-27 09:00:00,5.1,83.4,32.1
90,2021-07-27 10:00:00,5.1,75.5,34.0
91,2021-07-27 11:00:00,5.3,70.9,35.4
92,2021-07-27 12:00:00,5.1,69.3,36.0
93,2021-07-27 13:00:00,3.2,67.9,36.2
94,2021-07-27 14:00:00,4.2,65.1,36.4
95,2021-07-27 15:00:00,5.1,66.8,36.4
96,2021-07-27 16:00:00,4.4,66.6,36.3
97,2021-07-27 17:00:00,2.8,64.9,36.3
98,2021-07-27 18:00:00,3.4,65.9,36.2
99,2021-07-27 19:00:00,6.6,72.6,35.1
100,2021-07-27 20:00:00,3.6,79.0,33.4
101,2021-07-27 21:00:00,4.0,79.6,33.2
102,2021-07-27 22:00:00,2.5,78.9,33.2
103,2021-07-27 23:00:00,1.7,80.1,33.0
104,2021-07-28 00:00:00,1.4,82.7,32.5
105,2021-07-28 01:00:00,2.3,85.0,32.4
106,2021-07-28 02:00:00,5.2,88.0,32.0
107,2021-07-28 03:00:00,12.0,89.4,31.4
108,2021-07-28 04:00:00,10.5,89.6,31.2
109,2021-07-28 05:00:00,14.5,92.2,30.9
110,2021-07-28 06:00:00,8.3,94.4,30.6
111,2021-07-28 07:00:00,5.4,91.8,30.8
112,2021-07-28 08:00:00,8.6,90.1,31.2
113,2021-07-28 09:00:00,11.0,83.7,32.7
114,2021-07-28 10:00:00,8.4,76.2,34.4
115,2021-07-28 11:00:00,6.5,71.8,35.8
116,2021-07-28 12:00:00,4.9,67.4,36.7
117,2021-07-28 13:00:00,5.8,66.6,37.1
118,2021-07-28 14:00:00,6.5,67.1,37.1
119,2021-07-28 15:00:00,3.0,63.5,37.4
120,2021-07-28 16:00:00,1.0,62.9,36.7
121,2021-07-28 17:00:00,10.0,70.2,35.3
122,2021-07-28 18:00:00,14.7,78.3,33.8
123,2021-07-28 19:00:00,9.9,78.4,32.8
124,2021-07-28 20:00:00,5.4,86.9,31.6
125,2021-07-28 21:00:00,6.7,86.6,31.5
126,2021-07-28 22:00:00,14.6,86.7,31.1
127,2021-07-28 23:00:00,51.48,89.7,30.9
128,2021-07-29 00:00:00,55.82,90.2,31.0
129,2021-07-29 01:00:00,78.63,91.9,30.9
130,2021-07-29 02:00:00,61.0,92.8,30.4
131,2021-07-29 03:00:00,54.45,91.0,30.3
132,2021-07-29 04:00:00,16.0,91.4,30.1
133,2021-07-29 05:00:00,12.5,91.2,29.9
134,2021-07-29 06:00:00,9.5,91.9,29.9
135,2021-07-29 07:00:00,10.1,93.3,30.1
136,2021-07-29 08:00:00,16.1,93.2,30.5
137,2021-07-29 09:00:00,18.4,86.3,32.4
138,2021-07-29 10:00:00,50.59,83.4,33.2
139,2021-07-29 11:00:00,46.98,78.7,34.5
140,2021-07-29 12:00:00,18.6,73.1,35.7
141,2021-07-29 13:00:00,12.4,71.7,36.2
142,2021-07-29 14:00:00,10.6,67.1,36.9
143,2021-07-29 15:00:00,7.8,64.3,36.8
144,2021-07-29 16:00:00,11.5,75.1,34.8
145,2021-07-29 17:00:00,4.6,97.8,28.5
146,2021-07-29 18:00:00,3.5,100.0,27.8
147,2021-07-29 19:00:00,2.7,100.0,28.4
148,2021-07-29 20:00:00,2.7,99.4,29.0
149,2021-07-29 21:00:00,5.7,99.3,29.5
150,2021-07-29 22:00:00,7.7,98.1,30.1
151,2021-07-29 23:00:00,8.2,96.8,30.2
152,2021-07-30 00:00:00,7.1,96.5,30.2
153,2021-07-30 01:00:00,5.8,96.1,30.1
154,2021-07-30 02:00:00,5.8,92.5,29.9
155,2021-07-30 03:00:00,6.9,93.0,29.8
156,2021-07-30 04:00:00,11.6,96.0,29.8
157,2021-07-30 05:00:00,70.66,98.1,29.6
158,2021-07-30 06:00:00,99.44,100.0,29.5
159,2021-07-30 07:00:00,98.69,100.0,29.6
160,2021-07-30 08:00:00,98.24,98.6,30.3
161,2021-07-30 09:00:00,96.42,94.2,31.0
162,2021-07-30 10:00:00,87.61,87.2,32.7
163,2021-07-30 11:00:00,57.18,82.4,33.5
164,2021-07-30 12:00:00,46.4,76.3,35.2
165,2021-07-30 13:00:00,36.06,74.5,35.6
166,2021-07-30 14:00:00,17.5,71.6,36.1
167,2021-07-30 15:00:00,14.0,70.2,36.2
