,time,PM2.5,humidity,temperature
0,2021-07-22 10:00:00,18.4,85.2,30.1
1,2021-07-22 11:00:00,45.36,83.0,31.0
2,2021-07-22 12:00:00,51.31,81.9,31.5
3,2021-07-22 13:00:00,39.44,81.7,31.7
4,2021-07-22 14:00:00,19.6,82.0,31.6
5,2021-07-22 15:00:00,18.1,80.2,32.0
6,2021-07-22 16:00:00,49.71,79.5,32.4
7,2021-07-22 17:00:00,61.26,81.0,32.1
8,2021-07-22 18:00:00,8.1,93.2,28.3
9,2021-07-22 19:00:00,5.8,97.2,27.4
10,2021-07-22 20:00:00,5.3,95.6,27.6
11,2021-07-22 21:00:00,11.6,96.6,28.0
12,2021-07-22 22:00:00,18.4,97.4,28.3
13,2021-07-22 23:00:00,18.2,98.5,28.5
14,2021-07-23 00:00:00,11.5,99.5,28.1
15,2021-07-23 01:00:00,8.4,99.3,28.1
16,2021-07-23 02:00:00,9.9,99.9,27.7
17,2021-07-23 03:00:00,12.2,100.0,27.6
18,2021-07-23 04:00:00,12.4,100.0,27.3
19,2021-07-23 05:00:00,10.3,100.0,27.0
20,2021-07-23 06:00:00,4.0,100.0,26.7
21,2021-07-23 07:00:00,3.1,100.0,26.9
22,2021-07-23 08:00:00,2.7,100.0,27.0
23,2021-07-23 09:00:00,2.4,100.0,26.9
24,2021-07-23 10:00:00,3.8,100.0,27.4
25,2021-07-23 11:00:00,6.9,100.0,27.7
26,2021-07-23 12:00:00,4.3,99.9,27.4
27,2021-07-23 13:00:00,3.1,100.0,26.7
28,2021-07-23 14:00:00,4.7,100.0,27.3
29,2021-07-23 15:00:00,4.7,100.0,27.1
30,2021-07-23 16:00:00,2.8,99.9,27.5
31,2021-07-23 17:00:00,2.5,99.8,27.6
32,2021-07-23 18:00:00,3.8,99.6,27.6
33,2021-07-23 19:00:00,5.4,99.9,27.6
34,2021-07-23 20:00:00,5.6,99.9,27.5
35,2021-07-23 21:00:00,4.2,100.0,27.1
36,2021-07-23 22:00:00,4.0,100.0,27.1
37,2021-07-23 23:00:00,4.5,99.9,27.2
38,2021-07-24 00:00:00,4.9,99.7,27.3
39,2021-07-24 01:00:00,4.9,100.0,27.2
40,2021-07-24 02:00:00,4.5,99.8,27.2
41,2021-07-24 03:00:00,7.1,100.0,27.3
42,2021-07-24 04:00:00,7.4,100.0,27.3
43,2021-07-24 05:00:00,8.6,100.0,27.4
44,2021-07-24 06:00:00,10.1,100.0,27.4
45,2021-07-24 07:00:00,9.3,100.0,27.6
46,2021-07-24 08:00:00,11.0,97.8,28.7
47,2021-07-24 09:00:00,12.6,94.6,29.6
48,2021-07-24 10:00:00,12.3,88.8,31.0
49,2021-07-24 11:00:00,10.8,81.8,32.3
50,2021-07-24 12:00:00,11.7,77.9,33.2
51,2021-07-24 13:00:00,11.9,76.0,33.8
52,2021-07-24 14:00:00,12.1,73.0,34.7
53,2021-07-24 15:00:00,11.0,75.9,33.6
54,2021-07-24 16:00:00,9.9,75.5,34.1
55,2021-07-24 17:00:00,6.8,79.2,33.6
56,2021-07-24 18:00:00,7.9,80.6,33.1
57,2021-07-24 19:00:00,6.5,84.9,31.5
58,2021-07-24 20:00:00,7.6,88.6,30.7
59,2021-07-24 21:00:00,6.8,88.9,30.4
60,2021-07-24 22:00:00,4.8,88.6,30.4
61,2021-07-24 23:00:00,5.0,89.2,30.2
62,2021-07-25 00:00:00,7.0,90.7,30.0
63,2021-07-25 01:00:00,6.7,93.0,29.5
64,2021-07-25 02:00:00,5.0,94.2,29.3
65,2021-07-25 03:00:00,4.4,95.2,29.2
66,2021-07-25 04:00:00,4.9,97.2,28.9
67,2021-07-25 05:00:00,5.4,98.0,28.7
68,2021-07-25 06:00:00,7.6,97.1,28.8
69,2021-07-25 07:00:00,8.1,94.1,29.3
70,2021-07-25 08:00:00,14.5,91.8,29.9
71,2021-07-25 09:00:00,15.9,89.4,30.4
72,2021-07-25 10:00:00,14.1,85.4,31.6
73,2021-07-25 11:00:00,14.1,81.9,32.7
74,2021-07-25 12:00:00,13.3,78.7,33.6
75,2021-07-25 13:00:00,13.4,75.2,34.4
76,2021-07-25 14:00:00,15.1,74.8,34.6
77,2021-07-25 15:00:00,15.7,73.9,34.7
78,2021-07-25 16:00:00,12.6,74.5,33.7
79,2021-07-25 17:00:00,10.1,68.2,34.8
80,2021-07-25 18:00:00,12.0,73.7,32.5
81,2021-07-25 19:00:00,18.9,78.1,31.7
82,2021-07-25 20:00:00,16.9,81.6,31.1
83,2021-07-25 21:00:00,19.0,83.7,30.6
84,2021-07-25 22:00:00,44.46,85.2,30.3
85,2021-07-25 23:00:00,47.72,87.6,29.7
86,2021-07-26 00:00:00,8.7,85.3,29.3
87,2021-07-26 01:00:00,7.9,85.9,28.9
88,2021-07-26 02:00:00,12.2,86.6,28.7
89,2021-07-26 03:00:00,10.6,86.6,28.8
90,2021-07-26 04:00:00,9.3,89.6,28.6
91,2021-07-26 05:00:00,7.5,89.4,28.4
92,2021-07-26 06:00:00,6.9,87.6,28.4
93,2021-07-26 07:00:00,7.4,89.4,28.2
94,2021-07-26 08:00:00,10.0,89.5,28.7
95,2021-07-26 09:00:00,14.8,88.7,29.4
96,2021-07-26 10:00:00,15.6,83.9,30.8
97,2021-07-26 11:00:00,15.2,81.6,31.9
98,2021-07-26 12:00:00,13.9,77.8,32.4
99,2021-07-26 13:00:00,12.4,74.6,33.4
100,2021-07-26 14:00:00,13.1,71.1,34.6
101,2021-07-26 15:00:00,12.0,67.2,35.4
102,2021-07-26 16:00:00,11.9,62.6,36.1
103,2021-07-26 17:00:00,14.1,61.6,37.4
104,2021-07-26 18:00:00,17.4,68.6,34.7
105,2021-07-26 19:00:00,14.2,73.0,33.4
106,2021-07-26 20:00:00,18.0,77.9,32.7
107,2021-07-26 21:00:00,10.1,80.5,31.1
108,2021-07-26 22:00:00,7.6,83.2,30.6
109,2021-07-26 23:00:00,6.8,83.1,30.5
110,2021-07-27 00:00:00,6.2,83.9,30.4
111,2021-07-27 01:00:00,6.5,84.8,30.2
112,2021-07-27 02:00:00,8.3,88.0,29.9
113,2021-07-27 03:00:00,8.5,87.9,29.8
114,2021-07-27 04:00:00,9.6,90.5,29.5
115,2021-07-27 05:00:00,9.6,90.8,29.3
116,2021-07-27 06:00:00,9.9,91.2,29.3
117,2021-07-27 07:00:00,7.6,90.6,29.2
118,2021-07-27 08:00:00,7.9,87.4,30.1
119,2021-07-27 09:00:00,7.3,82.5,31.3
120,2021-07-27 10:00:00,7.5,79.6,32.2
121,2021-07-27 11:00:00,7.2,74.3,33.4
122,2021-07-27 12:00:00,7.5,71.5,34.2
123,2021-07-27 13:00:00,6.5,69.2,35.0
124,2021-07-27 14:00:00,10.7,68.0,35.6
125,2021-07-27 15:00:00,7.8,63.2,36.4
126,2021-07-27 16:00:00,6.2,60.7,37.1
127,2021-07-27 17:00:00,7.4,60.1,37.8
128,2021-07-27 18:00:00,7.8,61.6,37.4
129,2021-07-27 19:00:00,12.3,69.5,35.1
130,2021-07-27 20:00:00,6.4,76.3,33.4
131,2021-07-27 21:00:00,4.8,77.4,32.9
132,2021-07-27 22:00:00,4.7,79.2,32.4
133,2021-07-27 23:00:00,4.4,81.7,32.0
134,2021-07-28 00:00:00,3.9,82.8,31.8
135,2021-07-28 01:00:00,5.0,83.6,31.7
136,2021-07-28 02:00:00,11.4,84.1,31.4
137,2021-07-28 03:00:00,51.27,83.2,31.0
138,2021-07-28 04:00:00,13.4,86.0,30.7
139,2021-07-28 05:00:00,15.1,88.4,30.2
140,2021-07-28 06:00:00,15.5,89.4,30.1
141,2021-07-28 07:00:00,8.2,88.5,30.2
142,2021-07-28 08:00:00,8.8,86.4,30.7
143,2021-07-28 09:00:00,13.0,84.2,31.6
144,2021-07-28 10:00:00,11.6,79.3,32.7
145,2021-07-28 11:00:00,7.9,73.5,34.0
146,2021-07-28 12:00:00,6.1,69.9,35.0
147,2021-07-28 13:00:00,5.7,66.5,35.8
148,2021-07-28 14:00:00,8.3,65.2,36.4
149,2021-07-28 15:00:00,7.0,64.7,36.4
150,2021-07-28 16:00:00,3.4,62.4,36.2
151,2021-07-28 17:00:00,10.9,69.3,34.6
152,2021-07-28 18:00:00,32.59,73.4,33.3
153,2021-07-28 19:00:00,10.9,76.3,32.1
154,2021-07-28 20:00:00,12.8,77.8,31.9
155,2021-07-28 21:00:00,11.9,79.9,31.6
156,2021-07-28 22:00:00,19.3,82.7,31.1
157,2021-07-28 23:00:00,44.44,83.5,30.8
158,2021-07-29 00:00:00,49.49,85.8,30.5
159,2021-07-29 01:00:00,97.55,87.7,30.2
160,2021-07-29 02:00:00,80.9,86.4,30.3
161,2021-07-29 03:00:00,63.21,85.6,30.1
162,2021-07-29 04:00:00,51.07,86.4,29.7
163,2021-07-29 05:00:00,50.03,87.1,29.5
164,2021-07-29 06:00:00,13.7,87.6,29.2
165,2021-07-29 07:00:00,11.7,88.5,29.2
166,2021-07-29 08:00:00,13.1,87.6,29.8
167,2021-07-29 09:00:00,44.52,85.4,31.3
