,time,PM2.5,humidity,temperature
0,2021-12-20 18:00:00,41.6,58.5,21.1
1,2021-12-20 19:00:00,40.5,61.5,20.6
2,2021-12-20 20:00:00,40.9,62.8,20.2
3,2021-12-20 21:00:00,37.5,62.0,20.1
4,2021-12-20 22:00:00,33.2,63.9,19.6
5,2021-12-20 23:00:00,27.5,65.8,19.1
6,2021-12-21 00:00:00,23.0,67.5,19.0
7,2021-12-21 01:00:00,23.0,69.6,18.8
8,2021-12-21 02:00:00,26.2,70.9,18.4
9,2021-12-21 03:00:00,24.3,70.1,18.3
10,2021-12-21 04:00:00,22.2,68.6,18.4
11,2021-12-21 05:00:00,18.4,67.9,18.4
12,2021-12-21 06:00:00,21.6,68.4,18.3
13,2021-12-21 07:00:00,26.0,67.5,18.6
14,2021-12-21 08:00:00,23.8,65.9,18.7
15,2021-12-21 09:00:00,28.6,64.3,19.2
16,2021-12-21 10:00:00,41.2,65.4,19.7
17,2021-12-21 11:00:00,47.5,63.8,20.4
18,2021-12-21 12:00:00,46.5,57.9,21.5
19,2021-12-21 13:00:00,46.2,53.9,22.6
20,2021-12-21 14:00:00,46.4,53.5,22.7
21,2021-12-21 15:00:00,46.1,51.0,23.7
22,2021-12-21 16:00:00,48.0,48.9,24.5
23,2021-12-21 17:00:00,51.0,51.9,23.6
24,2021-12-21 18:00:00,66.0,55.6,22.6
25,2021-12-21 19:00:00,74.6,59.2,21.9
26,2021-12-21 20:00:00,77.8,60.7,21.5
27,2021-12-21 21:00:00,79.5,62.3,21.4
28,2021-12-21 22:00:00,82.1,62.9,21.3
29,2021-12-21 23:00:00,86.3,66.7,20.6
30,2021-12-22 00:00:00,91.3,68.9,20.4
31,2021-12-22 01:00:00,92.4,71.1,20.0
32,2021-12-22 02:00:00,88.1,73.7,19.6
33,2021-12-22 03:00:00,81.9,76.1,19.4
34,2021-12-22 04:00:00,83.2,75.2,19.3
35,2021-12-22 05:00:00,86.9,76.5,19.0
36,2021-12-22 06:00:00,101.6,77.1,18.9
37,2021-12-22 07:00:00,106.3,76.4,18.8
38,2021-12-22 08:00:00,95.0,77.7,18.7
39,2021-12-22 09:00:00,81.0,76.2,19.1
40,2021-12-22 10:00:00,89.4,73.0,19.9
41,2021-12-22 11:00:00,88.0,68.2,20.9
42,2021-12-22 12:00:00,89.2,62.4,22.4
43,2021-12-22 13:00:00,91.9,56.8,23.9
44,2021-12-22 14:00:00,84.5,53.5,24.2
45,2021-12-22 15:00:00,75.3,51.1,24.7
46,2021-12-22 16:00:00,68.5,47.2,26.0
47,2021-12-22 17:00:00,55.3,50.2,24.7
48,2021-12-22 18:00:00,66.7,56.0,23.1
49,2021-12-22 19:00:00,86.8,59.3,22.3
50,2021-12-22 20:00:00,88.6,63.4,21.5
51,2021-12-22 21:00:00,55.6,70.4,20.3
52,2021-12-22 22:00:00,44.5,71.7,19.9
53,2021-12-22 23:00:00,33.9,71.2,19.8
54,2021-12-23 00:00:00,44.6,73.9,19.1
55,2021-12-23 01:00:00,33.9,76.2,18.6
56,2021-12-23 02:00:00,31.9,78.1,18.2
57,2021-12-23 03:00:00,31.1,79.1,18.1
58,2021-12-23 04:00:00,29.5,79.8,18.0
59,2021-12-23 05:00:00,32.0,78.2,18.3
60,2021-12-23 06:00:00,32.7,78.9,18.1
61,2021-12-23 07:00:00,42.1,76.6,18.9
62,2021-12-23 08:00:00,51.3,75.5,19.5
63,2021-12-23 09:00:00,69.2,73.5,20.4
64,2021-12-23 10:00:00,45.6,70.3,21.3
65,2021-12-23 11:00:00,49.1,67.1,22.4
66,2021-12-23 12:00:00,59.8,61.8,23.4
67,2021-12-23 13:00:00,57.0,57.3,24.1
68,2021-12-23 14:00:00,55.2,55.8,24.2
69,2021-12-23 15:00:00,54.7,53.4,24.8
70,2021-12-23 16:00:00,54.7,51.5,25.7
71,2021-12-23 17:00:00,51.2,54.9,24.8
72,2021-12-23 18:00:00,65.3,60.3,23.2
73,2021-12-23 19:00:00,83.8,63.6,22.6
74,2021-12-23 20:00:00,105.4,68.8,21.5
75,2021-12-23 21:00:00,67.0,74.9,20.9
76,2021-12-23 22:00:00,44.2,79.3,20.4
77,2021-12-23 23:00:00,40.2,82.7,20.0
78,2021-12-24 00:00:00,40.6,85.4,19.4
79,2021-12-24 01:00:00,39.1,87.0,19.1
80,2021-12-24 02:00:00,38.3,88.4,18.8
81,2021-12-24 03:00:00,41.8,89.3,18.7
82,2021-12-24 04:00:00,44.0,89.9,18.8
83,2021-12-24 05:00:00,40.8,90.4,18.8
84,2021-12-24 06:00:00,41.8,90.1,19.1
85,2021-12-24 07:00:00,43.4,90.1,19.0
86,2021-12-24 08:00:00,38.3,88.6,19.4
87,2021-12-24 09:00:00,49.4,86.4,19.8
88,2021-12-24 10:00:00,58.1,84.8,20.1
89,2021-12-24 11:00:00,59.2,80.0,21.2
90,2021-12-24 12:00:00,60.1,72.2,22.7
91,2021-12-24 13:00:00,54.9,69.9,23.0
92,2021-12-24 14:00:00,58.2,66.7,23.5
93,2021-12-24 15:00:00,57.1,66.0,23.6
94,2021-12-24 16:00:00,77.7,68.2,23.3
95,2021-12-24 17:00:00,94.3,70.2,23.0
96,2021-12-24 18:00:00,107.3,71.6,22.7
