,time,PM2.5,humidity,temperature
0,2021-10-20 18:00:00,8.7,94.3,30.0
1,2021-10-20 19:00:00,9.5,97.8,29.1
2,2021-10-20 20:00:00,11.1,100.0,28.2
3,2021-10-20 21:00:00,8.9,100.0,27.4
4,2021-10-20 22:00:00,13.2,100.0,26.9
5,2021-10-20 23:00:00,18.3,100.0,26.7
6,2021-10-21 00:00:00,20.4,100.0,26.6
7,2021-10-21 01:00:00,23.8,100.0,26.5
8,2021-10-21 02:00:00,24.5,100.0,26.4
9,2021-10-21 03:00:00,24.9,100.0,26.4
10,2021-10-21 04:00:00,25.6,100.0,26.3
11,2021-10-21 05:00:00,26.3,100.0,26.2
12,2021-10-21 06:00:00,23.3,100.0,26.2
13,2021-10-21 07:00:00,20.9,100.0,27.2
14,2021-10-21 08:00:00,15.2,100.0,28.7
15,2021-10-21 09:00:00,12.3,99.4,28.2
16,2021-10-21 10:00:00,1.6,99.5,22.8
17,2021-10-21 11:00:00,1.7,99.9,22.5
18,2021-10-21 12:00:00,2.0,92.4,24.2
19,2021-10-21 13:00:00,1.7,91.2,23.8
20,2021-10-21 14:00:00,1.0,89.5,23.9
21,2021-10-21 15:00:00,1.5,87.3,24.2
22,2021-10-21 16:00:00,1.6,87.2,23.9
23,2021-10-21 17:00:00,2.5,89.2,23.5
24,2021-10-21 18:00:00,3.3,89.7,23.2
25,2021-10-21 19:00:00,4.6,91.3,22.9
26,2021-10-21 20:00:00,5.2,92.4,22.9
27,2021-10-21 21:00:00,4.4,92.5,22.8
28,2021-10-21 22:00:00,6.5,95.6,22.6
29,2021-10-21 23:00:00,3.3,96.0,22.3
30,2021-10-22 00:00:00,3.8,95.0,22.1
31,2021-10-22 01:00:00,7.3,94.1,22.0
32,2021-10-22 02:00:00,2.9,93.0,21.9
33,2021-10-22 03:00:00,2.3,94.8,21.8
34,2021-10-22 04:00:00,3.5,96.2,21.6
35,2021-10-22 05:00:00,3.7,95.6,21.6
36,2021-10-22 06:00:00,1.8,92.8,21.4
37,2021-10-22 07:00:00,4.4,90.1,21.5
38,2021-10-22 08:00:00,4.6,92.3,21.8
39,2021-10-22 09:00:00,3.9,89.1,22.1
40,2021-10-22 10:00:00,3.2,88.0,22.1
41,2021-10-22 11:00:00,3.1,85.4,22.4
42,2021-10-22 12:00:00,4.4,83.1,23.1
43,2021-10-22 13:00:00,2.7,79.9,23.6
44,2021-10-22 14:00:00,2.2,74.8,23.8
45,2021-10-22 15:00:00,3.8,77.0,23.3
46,2021-10-22 16:00:00,4.4,78.9,22.8
47,2021-10-22 17:00:00,5.7,81.4,21.9
48,2021-10-22 18:00:00,8.2,82.6,21.5
49,2021-10-22 19:00:00,9.1,82.2,21.3
50,2021-10-22 20:00:00,7.4,82.9,21.2
51,2021-10-22 21:00:00,7.6,84.0,21.0
52,2021-10-22 22:00:00,7.5,85.1,21.0
53,2021-10-22 23:00:00,8.0,87.4,20.9
54,2021-10-23 00:00:00,8.1,87.2,20.8
55,2021-10-23 01:00:00,6.5,85.7,20.7
56,2021-10-23 02:00:00,9.8,87.2,20.4
57,2021-10-23 03:00:00,10.9,87.1,20.4
58,2021-10-23 04:00:00,6.0,86.8,20.4
59,2021-10-23 05:00:00,6.0,86.7,20.3
60,2021-10-23 06:00:00,15.5,88.7,20.2
61,2021-10-23 07:00:00,15.1,88.4,20.3
62,2021-10-23 08:00:00,14.5,84.6,21.1
63,2021-10-23 09:00:00,24.2,79.0,23.0
64,2021-10-23 10:00:00,15.1,66.8,25.6
65,2021-10-23 11:00:00,10.0,58.6,28.3
66,2021-10-23 12:00:00,11.0,58.7,28.9
67,2021-10-23 13:00:00,11.2,59.2,28.8
68,2021-10-23 14:00:00,9.7,62.0,28.2
69,2021-10-23 15:00:00,11.3,65.1,27.4
70,2021-10-23 16:00:00,14.6,69.3,26.7
71,2021-10-23 17:00:00,20.0,74.7,25.9
72,2021-10-23 18:00:00,37.1,82.7,24.5
73,2021-10-23 19:00:00,29.0,84.8,23.9
74,2021-10-23 20:00:00,27.0,86.2,23.5
75,2021-10-23 21:00:00,28.2,88.2,23.3
76,2021-10-23 22:00:00,32.7,90.2,23.0
77,2021-10-23 23:00:00,30.5,88.5,22.7
78,2021-10-24 00:00:00,18.9,87.9,22.2
79,2021-10-24 01:00:00,14.0,88.0,22.0
80,2021-10-24 02:00:00,14.8,88.8,21.7
81,2021-10-24 03:00:00,22.0,90.1,21.5
82,2021-10-24 04:00:00,27.5,89.2,21.5
83,2021-10-24 05:00:00,28.5,89.0,21.2
84,2021-10-24 06:00:00,14.8,88.7,21.2
85,2021-10-24 07:00:00,10.1,88.0,21.4
86,2021-10-24 08:00:00,21.7,87.3,22.0
87,2021-10-24 09:00:00,20.0,80.0,23.6
88,2021-10-24 10:00:00,13.9,69.9,25.7
89,2021-10-24 11:00:00,15.1,65.0,27.4
90,2021-10-24 12:00:00,15.1,60.9,28.7
91,2021-10-24 13:00:00,15.4,58.7,29.8
92,2021-10-24 14:00:00,16.3,60.2,29.9
93,2021-10-24 15:00:00,27.1,67.8,28.7
