,time,PM2.5,humidity,temperature
0,2021-11-08 20:00:00,11.0,71.5,21.3
1,2021-11-08 21:00:00,14.3,67.8,20.9
2,2021-11-08 22:00:00,11.4,68.6,20.6
3,2021-11-08 23:00:00,10.3,66.7,20.5
4,2021-11-09 00:00:00,6.6,65.3,20.4
5,2021-11-09 01:00:00,5.6,66.7,20.2
6,2021-11-09 02:00:00,8.0,71.9,20.0
7,2021-11-09 03:00:00,8.2,72.0,19.9
8,2021-11-09 04:00:00,11.7,73.2,19.6
9,2021-11-09 05:00:00,11.0,74.6,19.4
10,2021-11-09 06:00:00,10.4,74.6,19.4
11,2021-11-09 07:00:00,12.6,74.3,19.3
12,2021-11-09 08:00:00,14.2,68.2,19.6
13,2021-11-09 09:00:00,12.8,59.5,20.3
14,2021-11-09 10:00:00,9.1,53.3,21.1
15,2021-11-09 11:00:00,6.4,48.2,22.4
16,2021-11-09 12:00:00,5.6,45.4,23.8
17,2021-11-09 13:00:00,4.4,40.6,26.4
18,2021-11-09 14:00:00,3.7,39.7,27.1
19,2021-11-09 15:00:00,5.4,44.2,24.7
20,2021-11-09 16:00:00,7.9,46.8,24.2
21,2021-11-09 17:00:00,10.0,49.3,23.7
22,2021-11-09 18:00:00,10.1,51.5,23.3
23,2021-11-09 19:00:00,11.7,52.5,23.2
24,2021-11-09 20:00:00,16.3,55.0,23.2
25,2021-11-09 21:00:00,26.2,57.9,22.9
26,2021-11-09 22:00:00,26.1,63.3,22.3
27,2021-11-09 23:00:00,29.3,69.0,22.2
28,2021-11-10 00:00:00,47.5,74.8,21.8
29,2021-11-10 01:00:00,43.2,72.2,21.5
30,2021-11-10 02:00:00,38.8,61.6,21.3
31,2021-11-10 03:00:00,26.6,60.2,21.1
32,2021-11-10 04:00:00,11.3,62.1,20.9
33,2021-11-10 05:00:00,6.4,61.5,20.8
34,2021-11-10 06:00:00,12.4,63.9,20.8
35,2021-11-10 07:00:00,12.3,63.5,20.8
36,2021-11-10 08:00:00,14.6,62.7,21.1
37,2021-11-10 09:00:00,12.6,56.1,21.6
38,2021-11-10 10:00:00,7.0,48.0,22.1
39,2021-11-10 11:00:00,5.2,42.4,22.9
40,2021-11-10 12:00:00,6.5,39.9,24.5
41,2021-11-10 13:00:00,8.3,43.3,24.9
42,2021-11-10 14:00:00,5.7,40.2,26.5
43,2021-11-10 15:00:00,9.8,45.2,24.7
44,2021-11-10 16:00:00,14.6,54.0,25.1
45,2021-11-10 17:00:00,15.4,57.1,24.2
46,2021-11-10 18:00:00,17.8,58.2,23.6
47,2021-11-10 19:00:00,19.4,60.0,23.2
48,2021-11-10 20:00:00,19.6,64.9,22.9
49,2021-11-10 21:00:00,19.0,65.8,22.8
50,2021-11-10 22:00:00,21.2,67.5,22.5
51,2021-11-10 23:00:00,21.2,69.9,22.1
52,2021-11-11 00:00:00,21.9,73.9,21.7
53,2021-11-11 01:00:00,23.0,74.0,21.4
54,2021-11-11 02:00:00,43.2,76.6,21.3
55,2021-11-11 03:00:00,33.2,80.6,21.0
56,2021-11-11 04:00:00,24.3,80.9,20.8
57,2021-11-11 05:00:00,21.1,84.6,20.4
58,2021-11-11 06:00:00,16.2,86.5,20.1
59,2021-11-11 07:00:00,22.6,87.5,20.2
60,2021-11-11 08:00:00,30.6,87.4,20.8
61,2021-11-11 09:00:00,30.0,79.7,21.4
62,2021-11-11 10:00:00,21.2,63.8,22.4
63,2021-11-11 11:00:00,20.1,54.5,23.7
64,2021-11-11 12:00:00,17.8,48.9,25.4
65,2021-11-11 13:00:00,13.1,41.4,28.1
66,2021-11-11 14:00:00,14.6,41.5,28.3
67,2021-11-11 15:00:00,14.0,43.5,26.8
68,2021-11-11 16:00:00,19.3,44.9,26.3
69,2021-11-11 17:00:00,22.9,48.4,25.6
