,time,PM2.5,humidity,temperature
0,2021-10-02 20:00:00,10.3,100.0,26.5
1,2021-10-02 21:00:00,13.8,100.0,26.8
2,2021-10-02 22:00:00,23.6,100.0,26.1
3,2021-10-02 23:00:00,25.3,100.0,26.3
4,2021-10-03 00:00:00,22.7,100.0,26.8
5,2021-10-03 01:00:00,23.5,99.5,27.3
6,2021-10-03 02:00:00,22.4,99.8,27.3
7,2021-10-03 03:00:00,20.4,99.9,27.2
8,2021-10-03 04:00:00,17.6,99.5,27.3
9,2021-10-03 05:00:00,17.5,100.0,27.1
10,2021-10-03 06:00:00,25.7,100.0,27.0
11,2021-10-03 07:00:00,34.4,100.0,26.9
12,2021-10-03 08:00:00,40.4,98.4,27.9
13,2021-10-03 09:00:00,45.3,92.6,29.4
14,2021-10-03 10:00:00,37.6,86.1,30.6
15,2021-10-03 11:00:00,32.6,80.0,31.7
16,2021-10-03 12:00:00,33.8,75.2,32.8
17,2021-10-03 13:00:00,34.1,67.6,34.8
18,2021-10-03 14:00:00,35.6,65.4,35.2
19,2021-10-03 15:00:00,41.9,64.1,35.2
20,2021-10-03 16:00:00,42.0,64.4,34.5
21,2021-10-03 17:00:00,41.6,69.4,33.4
22,2021-10-03 18:00:00,42.8,80.3,31.0
23,2021-10-03 19:00:00,34.7,85.2,30.4
24,2021-10-03 20:00:00,43.6,86.0,30.0
25,2021-10-03 21:00:00,38.3,86.9,29.6
26,2021-10-03 22:00:00,23.4,87.9,29.2
27,2021-10-03 23:00:00,22.5,89.9,28.8
28,2021-10-04 00:00:00,18.8,90.4,28.8
29,2021-10-04 01:00:00,18.2,90.9,28.5
30,2021-10-04 02:00:00,14.8,94.2,28.0
31,2021-10-04 03:00:00,14.7,96.3,27.9
32,2021-10-04 04:00:00,14.7,96.1,27.9
33,2021-10-04 05:00:00,21.5,98.2,27.7
34,2021-10-04 06:00:00,20.5,95.9,27.1
35,2021-10-04 07:00:00,24.2,95.3,27.2
36,2021-10-04 08:00:00,41.1,100.0,27.1
37,2021-10-04 09:00:00,16.6,99.9,25.9
38,2021-10-04 10:00:00,17.6,99.4,26.8
39,2021-10-04 11:00:00,30.2,87.2,30.2
40,2021-10-04 12:00:00,31.4,89.0,29.3
41,2021-10-04 13:00:00,36.2,84.6,30.2
42,2021-10-04 14:00:00,42.5,86.7,29.8
43,2021-10-04 15:00:00,33.5,80.9,31.0
44,2021-10-04 16:00:00,30.3,77.0,31.8
45,2021-10-04 17:00:00,17.2,88.5,28.9
46,2021-10-04 18:00:00,7.2,100.0,25.8
47,2021-10-04 19:00:00,5.9,99.7,26.9
48,2021-10-04 20:00:00,13.2,99.4,27.3
49,2021-10-04 21:00:00,13.7,100.0,27.6
50,2021-10-04 22:00:00,16.7,100.0,27.1
51,2021-10-04 23:00:00,18.5,100.0,26.6
52,2021-10-05 00:00:00,14.8,100.0,26.9
53,2021-10-05 01:00:00,15.5,99.9,26.7
54,2021-10-05 02:00:00,14.7,99.2,27.0
55,2021-10-05 03:00:00,16.2,99.2,27.0
56,2021-10-05 04:00:00,18.5,99.9,26.9
57,2021-10-05 05:00:00,23.1,99.5,26.8
58,2021-10-05 06:00:00,25.4,100.0,26.7
59,2021-10-05 07:00:00,28.8,100.0,26.4
60,2021-10-05 08:00:00,31.0,94.0,28.1
61,2021-10-05 09:00:00,32.4,86.3,29.3
62,2021-10-05 10:00:00,25.4,80.3,30.5
63,2021-10-05 11:00:00,19.1,75.0,31.4
64,2021-10-05 12:00:00,19.1,69.8,32.1
65,2021-10-05 13:00:00,16.2,66.1,32.8
66,2021-10-05 14:00:00,17.1,64.4,33.6
67,2021-10-05 15:00:00,19.1,67.3,33.1
68,2021-10-05 16:00:00,18.2,68.8,33.1
69,2021-10-05 17:00:00,21.6,71.0,32.5
70,2021-10-05 18:00:00,24.7,78.1,31.1
71,2021-10-05 19:00:00,28.9,82.6,30.3
72,2021-10-05 20:00:00,20.3,90.9,29.4
73,2021-10-05 21:00:00,14.9,91.4,29.2
74,2021-10-05 22:00:00,12.9,91.9,28.9
75,2021-10-05 23:00:00,13.7,93.4,28.7
76,2021-10-06 00:00:00,10.1,93.7,28.5
77,2021-10-06 01:00:00,9.8,93.4,28.5
78,2021-10-06 02:00:00,9.0,92.5,28.5
79,2021-10-06 03:00:00,10.6,93.8,28.2
80,2021-10-06 04:00:00,11.8,91.9,28.2
81,2021-10-06 05:00:00,15.3,94.0,27.9
82,2021-10-06 06:00:00,19.5,97.4,27.8
83,2021-10-06 07:00:00,25.8,98.3,27.9
84,2021-10-06 08:00:00,32.3,96.8,28.4
85,2021-10-06 09:00:00,37.4,90.6,29.8
86,2021-10-06 10:00:00,39.0,84.8,30.8
87,2021-10-06 11:00:00,42.0,81.0,31.4
88,2021-10-06 12:00:00,34.4,72.8,32.5
89,2021-10-06 13:00:00,33.9,70.1,32.8
90,2021-10-06 14:00:00,23.4,64.5,33.5
91,2021-10-06 15:00:00,24.9,62.3,34.3
92,2021-10-06 16:00:00,26.3,63.4,33.6
93,2021-10-06 17:00:00,33.3,78.2,31.4
94,2021-10-06 18:00:00,35.1,84.4,30.1
95,2021-10-06 19:00:00,35.5,87.1,29.5
96,2021-10-06 20:00:00,37.6,89.2,29.2
97,2021-10-06 21:00:00,38.4,87.7,29.1
98,2021-10-06 22:00:00,34.7,88.1,29.0
99,2021-10-06 23:00:00,37.3,88.5,28.9
100,2021-10-07 00:00:00,36.8,87.1,28.9
101,2021-10-07 01:00:00,35.7,89.5,28.7
102,2021-10-07 02:00:00,35.1,92.8,28.5
103,2021-10-07 03:00:00,36.6,92.4,28.6
104,2021-10-07 04:00:00,45.6,96.1,28.2
105,2021-10-07 05:00:00,49.7,99.7,27.9
106,2021-10-07 06:00:00,47.9,99.9,27.7
107,2021-10-07 07:00:00,41.7,100.0,27.1
108,2021-10-07 08:00:00,47.5,96.1,28.5
109,2021-10-07 09:00:00,52.5,93.2,29.0
110,2021-10-07 10:00:00,60.5,87.5,30.3
111,2021-10-07 11:00:00,63.7,81.0,31.8
112,2021-10-07 12:00:00,50.8,74.4,32.8
113,2021-10-07 13:00:00,41.8,66.4,33.8
114,2021-10-07 14:00:00,28.4,60.2,34.0
115,2021-10-07 15:00:00,25.2,57.1,35.1
116,2021-10-07 16:00:00,22.5,57.0,34.9
117,2021-10-07 17:00:00,26.2,58.6,34.6
118,2021-10-07 18:00:00,34.4,63.1,33.3
119,2021-10-07 19:00:00,49.7,69.7,32.3
120,2021-10-07 20:00:00,50.8,76.1,31.5
121,2021-10-07 21:00:00,64.0,79.2,31.1
122,2021-10-07 22:00:00,68.3,79.3,31.0
123,2021-10-07 23:00:00,67.8,82.5,30.5
124,2021-10-08 00:00:00,65.9,84.4,30.1
125,2021-10-08 01:00:00,72.3,86.6,29.8
126,2021-10-08 02:00:00,72.1,86.4,29.6
127,2021-10-08 03:00:00,56.2,88.9,29.1
128,2021-10-08 04:00:00,46.2,93.9,28.4
129,2021-10-08 05:00:00,46.3,93.4,28.3
130,2021-10-08 06:00:00,46.8,92.1,28.1
131,2021-10-08 07:00:00,48.0,87.5,28.5
132,2021-10-08 08:00:00,51.6,82.5,29.4
133,2021-10-08 09:00:00,42.1,69.2,30.8
134,2021-10-08 10:00:00,29.6,60.3,31.8
135,2021-10-08 11:00:00,28.1,59.6,32.5
136,2021-10-08 12:00:00,28.3,61.2,32.5
137,2021-10-08 13:00:00,26.0,59.8,33.3
138,2021-10-08 14:00:00,20.8,57.6,34.1
139,2021-10-08 15:00:00,21.0,57.3,34.5
140,2021-10-08 16:00:00,21.1,59.3,33.7
141,2021-10-08 17:00:00,26.5,60.6,33.4
142,2021-10-08 18:00:00,38.1,63.9,32.4
143,2021-10-08 19:00:00,43.9,64.8,31.7
144,2021-10-08 20:00:00,41.1,64.0,31.6
145,2021-10-08 21:00:00,37.4,62.7,31.7
146,2021-10-08 22:00:00,27.3,63.0,31.5
147,2021-10-08 23:00:00,23.6,64.2,31.2
148,2021-10-09 00:00:00,19.1,63.3,31.0
149,2021-10-09 01:00:00,23.0,65.1,30.6
150,2021-10-09 02:00:00,24.1,65.5,30.5
151,2021-10-09 03:00:00,19.3,65.1,30.5
152,2021-10-09 04:00:00,38.8,71.8,29.9
153,2021-10-09 05:00:00,47.6,75.5,29.5
154,2021-10-09 06:00:00,47.7,88.5,28.2
155,2021-10-09 07:00:00,45.9,93.0,27.4
156,2021-10-09 08:00:00,48.6,88.2,28.0
157,2021-10-09 09:00:00,47.7,80.9,28.9
158,2021-10-09 10:00:00,54.7,79.5,29.6
159,2021-10-09 11:00:00,21.9,71.4,29.9
160,2021-10-09 12:00:00,24.8,78.3,28.4
161,2021-10-09 13:00:00,15.4,91.5,26.2
162,2021-10-09 14:00:00,9.5,95.0,25.7
163,2021-10-09 15:00:00,11.2,99.1,25.1
164,2021-10-09 16:00:00,12.4,100.0,24.9
165,2021-10-09 17:00:00,10.5,100.0,24.8
166,2021-10-09 18:00:00,8.1,100.0,24.8
167,2021-10-09 19:00:00,5.6,100.0,24.9
