,time,PM2.5,humidity,temperature
45,2021-09-17 07:00:00,3.8,98.7,29.2
46,2021-09-17 08:00:00,5.6,100.0,28.1
47,2021-09-17 09:00:00,8.1,100.0,28.2
48,2021-09-17 10:00:00,5.2,100.0,28.8
49,2021-09-17 11:00:00,5.6,96.6,30.4
50,2021-09-17 12:00:00,4.2,91.2,31.9
51,2021-09-17 13:00:00,3.1,93.6,31.3
52,2021-09-17 14:00:00,2.3,91.0,31.7
53,2021-09-17 15:00:00,2.1,88.9,32.0
54,2021-09-17 16:00:00,3.0,90.8,31.6
55,2021-09-17 17:00:00,3.5,93.0,31.2
56,2021-09-17 18:00:00,2.9,99.6,30.1
57,2021-09-17 19:00:00,2.8,99.3,29.2
58,2021-09-17 20:00:00,2.8,100.0,25.9
59,2021-09-17 21:00:00,2.8,100.0,25.9
60,2021-09-17 22:00:00,2.8,100.0,25.9
61,2021-09-17 23:00:00,1.6,100.0,26.3
62,2021-09-18 00:00:00,1.8,100.0,26.3
63,2021-09-18 01:00:00,1.2,100.0,26.3
64,2021-09-18 02:00:00,1.9,100.0,26.3
65,2021-09-18 03:00:00,2.4,100.0,26.3
66,2021-09-18 04:00:00,2.8,100.0,26.2
67,2021-09-18 05:00:00,3.5,100.0,26.1
68,2021-09-18 06:00:00,3.6,100.0,26.0
69,2021-09-18 07:00:00,4.2,100.0,27.0
70,2021-09-18 08:00:00,6.9,100.0,28.0
71,2021-09-18 09:00:00,11.0,98.8,29.6
72,2021-09-18 10:00:00,13.3,87.9,33.0
73,2021-09-18 11:00:00,6.6,81.9,33.9
74,2021-09-18 12:00:00,3.4,81.5,33.8
75,2021-09-18 13:00:00,2.8,80.1,33.5
76,2021-09-18 14:00:00,4.6,79.0,33.5
77,2021-09-18 15:00:00,3.5,78.3,33.7
78,2021-09-18 16:00:00,2.5,78.1,33.6
79,2021-09-18 17:00:00,3.9,78.5,33.2
80,2021-09-18 18:00:00,5.3,84.0,32.3
81,2021-09-18 19:00:00,5.1,91.0,31.4
82,2021-09-18 20:00:00,5.6,94.0,30.8
83,2021-09-18 21:00:00,7.6,98.6,30.2
84,2021-09-18 22:00:00,5.2,100.0,29.6
85,2021-09-18 23:00:00,4.6,100.0,29.3
86,2021-09-19 00:00:00,3.1,100.0,29.1
87,2021-09-19 01:00:00,2.5,100.0,28.8
88,2021-09-19 02:00:00,3.1,100.0,28.6
89,2021-09-19 03:00:00,3.3,100.0,28.4
90,2021-09-19 04:00:00,3.8,100.0,28.1
91,2021-09-19 05:00:00,2.6,100.0,27.9
92,2021-09-19 06:00:00,2.7,100.0,27.9
93,2021-09-19 07:00:00,8.7,97.6,30.8
94,2021-09-19 08:00:00,9.3,95.4,31.6
95,2021-09-19 09:00:00,4.6,88.3,32.9
96,2021-09-19 10:00:00,4.9,81.0,34.4
97,2021-09-19 11:00:00,5.2,78.1,34.8
98,2021-09-19 12:00:00,4.4,77.6,34.4
99,2021-09-19 13:00:00,3.9,75.7,33.8
100,2021-09-19 14:00:00,3.9,73.8,34.2
101,2021-09-19 15:00:00,3.9,73.1,34.1
102,2021-09-19 16:00:00,5.3,74.6,33.9
103,2021-09-19 17:00:00,6.8,73.1,33.7
104,2021-09-19 18:00:00,11.5,75.0,32.8
105,2021-09-19 19:00:00,16.6,80.1,31.9
106,2021-09-19 20:00:00,17.4,85.5,31.0
107,2021-09-19 21:00:00,18.4,88.9,30.4
108,2021-09-19 22:00:00,13.2,91.1,30.0
109,2021-09-19 23:00:00,8.6,93.5,29.7
110,2021-09-20 00:00:00,6.2,95.8,29.4
111,2021-09-20 01:00:00,7.3,98.1,29.2
112,2021-09-20 02:00:00,7.4,99.8,28.9
113,2021-09-20 03:00:00,6.7,100.0,28.9
114,2021-09-20 04:00:00,11.4,100.0,28.6
115,2021-09-20 05:00:00,17.4,100.0,27.8
116,2021-09-20 06:00:00,16.7,100.0,27.6
117,2021-09-20 07:00:00,14.8,100.0,27.8
118,2021-09-20 08:00:00,9.2,100.0,29.0
119,2021-09-20 09:00:00,12.2,100.0,29.6
120,2021-09-20 10:00:00,13.0,98.4,30.5
121,2021-09-20 11:00:00,18.7,93.9,31.5
122,2021-09-20 12:00:00,48.55,89.1,32.3
123,2021-09-20 13:00:00,16.7,86.3,32.6
124,2021-09-20 14:00:00,15.3,82.8,33.5
125,2021-09-20 15:00:00,12.7,83.3,33.3
126,2021-09-20 16:00:00,11.6,82.3,33.4
127,2021-09-20 17:00:00,11.5,84.0,31.4
128,2021-09-20 18:00:00,8.7,89.8,28.6
129,2021-09-20 19:00:00,9.8,98.5,27.5
130,2021-09-20 20:00:00,15.8,99.3,27.8
131,2021-09-20 21:00:00,13.5,99.2,28.0
132,2021-09-20 22:00:00,14.5,99.7,27.8
133,2021-09-20 23:00:00,13.2,99.1,27.8
134,2021-09-21 00:00:00,14.2,99.8,27.7
135,2021-09-21 01:00:00,13.7,99.9,27.5
136,2021-09-21 02:00:00,13.4,100.0,27.1
137,2021-09-21 03:00:00,14.7,100.0,27.3
138,2021-09-21 04:00:00,15.6,100.0,27.2
139,2021-09-21 05:00:00,15.3,100.0,26.8
140,2021-09-21 06:00:00,15.5,100.0,26.8
141,2021-09-21 07:00:00,19.3,99.1,27.8
142,2021-09-21 08:00:00,59.95,91.9,30.4
143,2021-09-21 09:00:00,68.46,87.2,31.8
144,2021-09-21 10:00:00,68.44,84.5,32.4
145,2021-09-21 11:00:00,61.8,80.0,33.7
146,2021-09-21 12:00:00,42.11,79.8,33.4
147,2021-09-21 13:00:00,15.3,76.5,33.6
148,2021-09-21 14:00:00,15.1,74.4,33.9
149,2021-09-21 15:00:00,17.5,73.3,33.8
150,2021-09-21 16:00:00,15.9,71.4,33.9
151,2021-09-21 17:00:00,10.2,69.3,33.8
152,2021-09-21 18:00:00,64.78,80.6,32.4
153,2021-09-21 19:00:00,66.45,83.8,31.6
154,2021-09-21 20:00:00,14.3,82.3,31.3
155,2021-09-21 21:00:00,13.8,84.0,31.0
156,2021-09-21 22:00:00,13.2,90.5,30.3
157,2021-09-21 23:00:00,8.5,95.8,29.5
158,2021-09-22 00:00:00,5.6,96.9,29.2
159,2021-09-22 01:00:00,4.7,99.7,29.1
160,2021-09-22 02:00:00,5.8,100.0,28.9
161,2021-09-22 03:00:00,6.0,100.0,28.7
162,2021-09-22 04:00:00,6.5,100.0,28.5
163,2021-09-22 05:00:00,10.9,100.0,27.8
164,2021-09-22 06:00:00,15.9,100.0,27.5
165,2021-09-22 07:00:00,12.8,100.0,27.9
166,2021-09-22 08:00:00,12.8,99.9,28.6
167,2021-09-22 09:00:00,13.7,98.1,29.9
